from	to	score	weight
COX5A	NDUFA6	0.987	0.987
COX5A	COX6B2	0.988	0.988
COX5A	MT-CYB	0.988	0.988
ATP5F1C	COX5A	0.988	0.988
COX5A	NDUFA8	0.989	0.989
COX5A	COX7A2	0.991	0.991
COX5A	NDUFB6	0.994	0.994
COX5A	NDUFV2	0.994	0.994
COX5A	COX7B	0.995	0.995
COX5A	COX8A	0.996	0.996
COX5A	NDUFA4	0.997	0.997
COX5A	NDUFA12	0.997	0.997
COX5A	UQCR11	0.998	0.998
COX5A	COX6C	0.999	0.999
COX5A	MT-CO2	0.999	0.999
COX4I2	COX5A	0.999	0.999
COX4I1	COX5A	0.999	0.999
COX5A	COX7C	0.999	0.999
COX5A	MT-CO3	0.999	0.999
COX5A	COX6B1	0.999	0.999
COX5A	UQCR10	0.999	0.999
COX5A	UQCRQ	0.999	0.999
COX5A	MT-CO1	0.999	0.999
COX5A	UQCRB	0.999	0.999
COX5B	NDUFB4	0.984	0.984
COX5B	UQCRC1	0.999	0.999
ATP5F1D	COX5B	0.975	0.975
COX5B	NDUFB7	0.995	0.995
COX5B	COX6A1	0.999	0.999
COX5B	NDUFS7	0.987	0.987
ATP5F1E	COX5B	0.821	0.821
COX5B	NDUFA2	0.994	0.994
COX5B	NDUFA10	0.984	0.984
COX5B	TOMM40	0.41	0.41
COX5B	PSMB6	0.43	0.43
COX5B	SOD1	0.451	0.451
COX5B	VDAC1	0.512	0.512
COX5B	DDIT3	0.544	0.544
COX5B	COX8C	0.641	0.641
COX5B	NDUFA4L2	0.659	0.659
ATP5MC2	COX5B	0.696	0.696
ATP5MC3	COX5B	0.702	0.702
ATP5PF	COX5B	0.834	0.834
ATP5MC1	COX5B	0.838	0.838
ATP5PB	COX5B	0.872	0.872
COX5B	MT-ND6	0.882	0.882
COX5B	MT-ND2	0.885	0.885
COX5B	MT-ND5	0.886	0.886
COX5B	SDHC	0.886	0.886
ATP5F1B	COX5B	0.886	0.886
COX5B	MT-ND4L	0.894	0.894
COX5B	MT-ND3	0.9	0.9
COX5B	MT-ND4	0.904	0.904
COX5B	NDUFV3	0.916	0.916
COX5B	MT-ND1	0.918	0.918
ATP5F1A	COX5B	0.922	0.922
COX5B	SDHA	0.925	0.925
COX5B	NDUFC1	0.933	0.933
ATP5F1C	COX5B	0.944	0.944
COX5B	NDUFAB1	0.944	0.944
COX5B	SDHD	0.949	0.949
COX5B	NDUFB1	0.951	0.951
COX5B	COX7B2	0.959	0.959
COX5B	NDUFS1	0.96	0.96
COX5B	NDUFA3	0.961	0.961
COX5B	NDUFS5	0.962	0.962
COX5B	NDUFA1	0.963	0.963
COX5B	NDUFB2	0.969	0.969
COX5B	COX7A2L	0.972	0.972
COX5B	SDHB	0.972	0.972
COX5B	NDUFC2	0.972	0.972
ATP5PO	COX5B	0.974	0.974
COX5B	NDUFS4	0.975	0.975
COX5B	NDUFB6	0.977	0.977
COX5B	NDUFB3	0.977	0.977
ATP5PD	COX5B	0.979	0.979
COX5B	NDUFB10	0.98	0.98
COX5B	NDUFV1	0.981	0.981
COX5B	UQCRHL	0.981	0.981
COX5B	NDUFA7	0.982	0.982
COX5B	COX6B2	0.983	0.983
COX5B	NDUFA6	0.984	0.984
COX5B	NDUFS2	0.985	0.985
COX5B	NDUFS3	0.985	0.985
COX5B	NDUFA5	0.986	0.986
COX5B	NDUFA9	0.987	0.987
COX5B	NDUFV2	0.987	0.987
COX5B	NDUFA12	0.989	0.989
COX5B	NDUFB9	0.99	0.99
COX5B	NDUFB8	0.991	0.991
COX5B	NDUFB5	0.991	0.991
COX5B	NDUFA8	0.992	0.992
COX5B	MT-CYB	0.992	0.992
COX5B	NDUFA11	0.993	0.993
COX5B	CYCS	0.993	0.993
COX4I2	COX5B	0.994	0.994
COX5B	NDUFS6	0.995	0.995
COX5B	NDUFA13	0.995	0.995
COX5B	NDUFA4	0.995	0.995
COX5B	COX7A1	0.996	0.996
COX5B	NDUFS8	0.996	0.996
COX5B	COX7A2	0.997	0.997
COX5B	UQCRH	0.998	0.998
COX5B	COX7C	0.999	0.999
COX5B	UQCR10	0.999	0.999
COX5B	UQCR11	0.999	0.999
COX5B	COX8A	0.999	0.999
COX5B	COX6B1	0.999	0.999
COX5B	MT-CO3	0.999	0.999
COX5B	UQCRFS1	0.999	0.999
COX5B	UQCRC2	0.999	0.999
COX5B	CYC1	0.999	0.999
COX4I1	COX5B	0.999	0.999
COX5B	MT-CO2	0.999	0.999
COX5B	COX6C	0.999	0.999
COX5B	COX6A2	0.999	0.999
COX5B	UQCRB	0.999	0.999
COX5B	COX7B	0.999	0.999
COX5B	MT-CO1	0.999	0.999
COX5B	UQCRQ	0.999	0.999
COX5A	COX5B	0.999	0.999
COX6A1	NDUFB4	0.761	0.761
COX6A1	UQCRC1	0.989	0.989
ATP5F1D	COX6A1	0.808	0.808
COX6A1	NDUFB7	0.745	0.745
COX6A1	MT-ND5	0.463	0.463
COX6A1	MT-ND4	0.469	0.469
COX6A1	DDIT3	0.47	0.47
COX6A1	MT-ND2	0.477	0.477
ATP5F1A	COX6A1	0.505	0.505
COX6A1	MT-ATP6	0.505	0.505
COX6A1	NDUFB1	0.52	0.52
COX6A1	SDHA	0.527	0.527
COX6A1	NDUFC1	0.538	0.538
COX6A1	NDUFS1	0.551	0.551
COX6A1	NDUFB2	0.552	0.552
COX6A1	MT-ND1	0.553	0.553
ATP5F1B	COX6A1	0.564	0.564
COX6A1	SDHC	0.574	0.574
COX6A1	NDUFS2	0.591	0.591
COX6A1	NDUFA10	0.596	0.596
COX6A1	SDHD	0.607	0.607
COX6A1	NDUFA3	0.61	0.61
COX6A1	NDUFV1	0.612	0.612
COX6A1	NDUFA9	0.638	0.638
COX6A1	NDUFV3	0.643	0.643
COX6A1	SDHB	0.644	0.644
COX6A1	NDUFS4	0.66	0.66
ATP5MC1	COX6A1	0.673	0.673
ATP5PF	COX6A1	0.681	0.681
COX6A1	NDUFAB1	0.69	0.69
COX6A1	NDUFA4L2	0.69	0.69
COX6A1	NDUFB3	0.697	0.697
COX6A1	NDUFA7	0.698	0.698
ATP5MC3	COX6A1	0.699	0.699
ATP5MC2	COX6A1	0.709	0.709
ATP5F1E	COX6A1	0.722	0.722
ATP5PO	COX6A1	0.723	0.723
COX6A1	COX8C	0.734	0.734
ATP5PB	COX6A1	0.734	0.734
COX6A1	NDUFA11	0.737	0.737
COX6A1	NDUFA1	0.742	0.742
COX6A1	NDUFC2	0.743	0.743
COX6A1	NDUFB5	0.747	0.747
COX6A1	NDUFS3	0.757	0.757
COX6A1	NDUFV2	0.757	0.757
COX6A1	NDUFS7	0.759	0.759
COX6A1	NDUFB6	0.763	0.763
ATP5F1C	COX6A1	0.779	0.779
COX6A1	NDUFA2	0.782	0.782
COX6A1	NDUFB10	0.808	0.808
COX6A1	COX7B2	0.827	0.827
COX6A1	NDUFA6	0.827	0.827
COX6A1	NDUFA8	0.83	0.83
COX6A1	NDUFS8	0.831	0.831
COX6A1	NDUFA13	0.837	0.837
COX6A1	NDUFS6	0.839	0.839
COX6A1	NDUFA5	0.848	0.848
COX6A1	NDUFB9	0.856	0.856
COX6A1	NDUFA12	0.864	0.864
COX6A1	NDUFB8	0.889	0.889
ATP5PD	COX6A1	0.895	0.895
COX6A1	NDUFS5	0.895	0.895
COX6A1	CYCS	0.913	0.913
COX6A1	MT-CYB	0.924	0.924
COX6A1	COX6A2	0.936	0.936
COX6A1	UQCRHL	0.946	0.946
COX6A1	COX6B2	0.952	0.952
COX6A1	UQCRH	0.967	0.967
COX6A1	UQCR11	0.971	0.971
COX6A1	COX7A1	0.979	0.979
COX6A1	UQCRC2	0.98	0.98
COX6A1	COX7A2L	0.981	0.981
COX6A1	CYC1	0.985	0.985
COX6A1	UQCRFS1	0.986	0.986
COX6A1	UQCR10	0.995	0.995
COX4I2	COX6A1	0.996	0.996
COX6A1	UQCRQ	0.996	0.996
COX6A1	COX7B	0.996	0.996
COX6A1	UQCRB	0.997	0.997
COX6A1	COX7A2	0.998	0.998
COX6A1	COX8A	0.998	0.998
COX6A1	NDUFA4	0.998	0.998
COX5B	COX6A1	0.999	0.999
COX6A1	COX6C	0.999	0.999
COX6A1	MT-CO2	0.999	0.999
COX4I1	COX6A1	0.999	0.999
COX6A1	COX7C	0.999	0.999
COX6A1	COX6B1	0.999	0.999
COX6A1	MT-CO3	0.999	0.999
COX6A1	MT-CO1	0.999	0.999
COX5A	COX6A1	0.999	0.999
COX6A2	NDUFB4	0.93	0.93
COX6A2	UQCRC1	0.994	0.994
ATP5F1D	COX6A2	0.799	0.799
COX6A2	NDUFB7	0.961	0.961
COX6A1	COX6A2	0.936	0.936
COX6A2	NDUFS7	0.941	0.941
ATP5F1E	COX6A2	0.576	0.576
COX6A2	NDUFA2	0.944	0.944
COX6A2	NDUFA10	0.923	0.923
COX5B	COX6A2	0.999	0.999
COX6A2	NDUFB5	0.933	0.933
ATP5F1B	COX6A2	0.46	0.46
COX6A2	NDUFS3	0.927	0.927
COX6A2	SDHA	0.457	0.457
COX6A2	NDUFA9	0.938	0.938
COX6A2	UQCRC2	0.995	0.995
COX6A2	NDUFB10	0.946	0.946
COX6A2	NDUFS6	0.96	0.96
COX6A2	NDUFB9	0.962	0.962
COX6A2	NDUFC2	0.92	0.92
ATP5MC3	COX6A2	0.613	0.613
COX6A2	DDIT3	0.474	0.474
ATP5F1A	COX6A2	0.475	0.475
COX6A2	MT-ATP6	0.502	0.502
COX6A2	SDHD	0.532	0.532
COX6A2	SDHB	0.542	0.542
ATP5PO	COX6A2	0.552	0.552
COX6A2	SDHC	0.555	0.555
ATP5PF	COX6A2	0.598	0.598
ATP5MC2	COX6A2	0.615	0.615
COX6A2	NDUFA4L2	0.649	0.649
ATP5PB	COX6A2	0.667	0.667
ATP5MC1	COX6A2	0.679	0.679
ATP5F1C	COX6A2	0.738	0.738
COX6A2	COX8C	0.751	0.751
COX6A2	CYCS	0.779	0.779
COX6A2	NDUFB2	0.834	0.834
COX6A2	COX7A2L	0.837	0.837
COX6A2	COX7B2	0.842	0.842
COX6A2	COX7A2	0.844	0.844
ATP5PD	COX6A2	0.852	0.852
COX6A2	MT-ND6	0.86	0.86
COX6A2	MT-ND4L	0.862	0.862
COX6A2	MT-ND3	0.872	0.872
COX6A2	MT-ND5	0.873	0.873
COX6A2	MT-ND2	0.879	0.879
COX6A2	MT-ND4	0.88	0.88
COX6A2	NDUFC1	0.882	0.882
COX6A2	NDUFV3	0.887	0.887
COX6A2	NDUFB1	0.897	0.897
COX6A2	MT-ND1	0.898	0.898
COX6A2	NDUFB3	0.9	0.9
COX6A2	NDUFA3	0.905	0.905
COX6A2	COX8A	0.905	0.905
COX6A2	NDUFS1	0.907	0.907
COX6A2	NDUFA7	0.912	0.912
COX6A2	NDUFA11	0.913	0.913
COX6A2	NDUFA1	0.915	0.915
COX6A2	UQCRHL	0.919	0.919
COX6A2	NDUFS2	0.919	0.919
COX6A2	NDUFAB1	0.926	0.926
COX6A2	NDUFS8	0.927	0.927
COX6A2	NDUFV1	0.931	0.931
COX6A2	NDUFV2	0.933	0.933
COX6A2	NDUFA13	0.938	0.938
COX6A2	NDUFB6	0.939	0.939
COX6A2	NDUFA4	0.941	0.941
COX6A2	NDUFS4	0.944	0.944
COX6A2	NDUFS5	0.944	0.944
COX6A2	NDUFB8	0.948	0.948
COX6A2	NDUFA6	0.954	0.954
COX6A2	NDUFA8	0.954	0.954
COX6A2	NDUFA5	0.956	0.956
COX6A2	NDUFA12	0.957	0.957
COX6A2	COX6B2	0.976	0.976
COX6A2	MT-CYB	0.983	0.983
COX6A2	UQCRH	0.988	0.988
COX6A2	COX7B	0.99	0.99
COX4I2	COX6A2	0.99	0.99
COX6A2	MT-CO1	0.992	0.992
COX6A2	MT-CO2	0.992	0.992
COX6A2	UQCR11	0.992	0.992
COX6A2	COX6C	0.995	0.995
COX6A2	UQCRFS1	0.996	0.996
COX6A2	CYC1	0.996	0.996
COX6A2	COX7A1	0.996	0.996
COX6A2	MT-CO3	0.996	0.996
COX6A2	UQCRQ	0.997	0.997
COX4I1	COX6A2	0.998	0.998
COX6A2	UQCRB	0.998	0.998
COX6A2	UQCR10	0.998	0.998
COX5A	COX6A2	0.999	0.999
COX6A2	COX7C	0.999	0.999
COX6A2	COX6B1	0.999	0.999
COX6B1	NDUFB4	0.956	0.956
COX6B1	UQCRC1	0.989	0.989
ATP5F1D	COX6B1	0.814	0.814
COX6B1	NDUFB7	0.972	0.972
COX6A1	COX6B1	0.999	0.999
COX6B1	NDUFS7	0.936	0.936
ATP5F1E	COX6B1	0.658	0.658
COX6B1	NDUFA2	0.982	0.982
COX6B1	NDUFA10	0.948	0.948
COX5B	COX6B1	0.999	0.999
COX6B1	NDUFB5	0.948	0.948
ATP5F1B	COX6B1	0.663	0.663
COX6B1	NDUFS3	0.952	0.952
COX6B1	SDHA	0.559	0.559
COX6B1	NDUFA9	0.931	0.931
COX6B1	UQCRC2	0.997	0.997
COX6B1	NDUFB10	0.944	0.944
COX6B1	PSMB6	0.495	0.495
COX6B1	NDUFS6	0.954	0.954
COX6B1	NDUFB9	0.987	0.987
COX6B1	NDUFC2	0.952	0.952
ATP5MC3	COX6B1	0.776	0.776
COX6A2	COX6B1	0.999	0.999
ATP5PO	COX6B1	0.691	0.691
COX6B1	COX7A1	0.998	0.998
COX6B1	NDUFS4	0.958	0.958
COX6B1	NDUFB8	0.983	0.983
COX6B1	NDUFA7	0.955	0.955
ATP5PD	COX6B1	0.879	0.879
COX6B1	UQCRFS1	0.997	0.997
COX6B1	CYCS	0.941	0.941
COX6B1	UQCRH	0.992	0.992
COX6B1	NDUFS8	0.96	0.96
COX6B1	CYC1	0.994	0.994
COX5A	COX6B1	0.999	0.999
COX6B1	COX8A	0.998	0.998
COX6B1	NDUFV2	0.972	0.972
COX6B1	NDUFA12	0.976	0.976
COX6B1	UQCR10	0.999	0.999
COX6B1	NDUFA4	0.999	0.999
COX6B1	COX8C	0.727	0.727
COX6B1	NDUFV3	0.911	0.911
ATP5F1C	COX6B1	0.718	0.718
COX6B1	MT-CO1	0.998	0.998
COX6B1	MT-CYB	0.975	0.975
COX6B1	MT-ATP6	0.475	0.475
COX6B1	MT-ND6	0.868	0.868
COX6B1	MT-ND1	0.891	0.891
COX6B1	MT-ND4L	0.871	0.871
COX6B1	MT-ND5	0.898	0.898
COX6B1	MT-CO2	0.999	0.999
COX6B1	MT-ND4	0.91	0.91
COX6B1	MT-CO3	0.999	0.999
COX6B1	MT-ND2	0.917	0.917
COX6B1	MT-ND3	0.872	0.872
COX6B1	SDHC	0.554	0.554
COX6B1	NDUFS2	0.951	0.951
ATP5PB	COX6B1	0.653	0.653
COX6B1	COX7A2	0.998	0.998
COX6B1	NDUFA1	0.979	0.979
COX6B1	NDUFS5	0.952	0.952
COX6B1	NDUFA8	0.971	0.971
COX6B1	SDHB	0.798	0.798
COX6B1	SDHD	0.603	0.603
COX4I2	COX6B1	0.981	0.981
COX6B1	COX7A2L	0.951	0.951
COX6B1	UQCRQ	0.999	0.999
COX6B1	NDUFB6	0.964	0.964
ATP5MC1	COX6B1	0.72	0.72
COX6B1	NDUFA4L2	0.65	0.65
COX6B1	COX7B2	0.916	0.916
ATP5F1A	COX6B1	0.577	0.577
COX6B1	NDUFA11	0.945	0.945
ATP5PF	COX6B1	0.855	0.855
COX6B1	NDUFS1	0.971	0.971
COX6B1	NDUFB3	0.952	0.952
COX6B1	NDUFA5	0.968	0.968
COX6B1	NDUFA3	0.974	0.974
COX6B1	NDUFB2	0.898	0.898
COX6B1	NDUFA13	0.957	0.957
COX6B1	COX7C	0.999	0.999
COX6B1	COX6C	0.999	0.999
COX6B1	UQCRB	0.999	0.999
COX6B1	NDUFC1	0.91	0.91
COX6B1	DDIT3	0.442	0.442
COX4I1	COX6B1	0.999	0.999
COX6B1	NDUFAB1	0.951	0.951
ATP5MC2	COX6B1	0.572	0.572
COX6B1	UQCRHL	0.902	0.902
COX6B1	COX6B2	0.906	0.906
COX6B1	NDUFB1	0.944	0.944
COX6B1	NDUFV1	0.96	0.96
COX6B1	NDUFA6	0.971	0.971
COX6B1	COX7B	0.996	0.996
COX6B1	UQCR11	0.997	0.997
COX6B2	NDUFB4	0.551	0.551
COX6B2	UQCRC1	0.87	0.87
ATP5F1D	COX6B2	0.666	0.666
COX6B2	NDUFB7	0.763	0.763
COX6A1	COX6B2	0.952	0.952
COX6B2	NDUFS7	0.646	0.646
ATP5F1E	COX6B2	0.505	0.505
COX6B2	NDUFA2	0.764	0.764
COX6B2	NDUFA10	0.537	0.537
COX5B	COX6B2	0.983	0.983
COX6B2	NDUFB5	0.629	0.629
ATP5F1B	COX6B2	0.406	0.406
COX6B2	NDUFS3	0.527	0.527
COX6B2	NDUFA9	0.506	0.506
COX6B2	UQCRC2	0.958	0.958
COX6B2	NDUFB10	0.527	0.527
COX6B2	NDUFS6	0.57	0.57
COX6B2	NDUFB9	0.744	0.744
COX6B2	NDUFC2	0.622	0.622
ATP5MC3	COX6B2	0.68	0.68
COX6A2	COX6B2	0.976	0.976
COX6B2	COX7A1	0.826	0.826
COX6B2	NDUFS4	0.676	0.676
COX6B2	NDUFB8	0.747	0.747
COX6B2	NDUFA7	0.513	0.513
ATP5PD	COX6B2	0.779	0.779
COX6B2	UQCRFS1	0.951	0.951
COX6B2	CYCS	0.744	0.744
COX6B2	UQCRH	0.886	0.886
COX6B2	NDUFS8	0.639	0.639
COX6B2	CYC1	0.944	0.944
COX5A	COX6B2	0.988	0.988
COX6B2	COX8A	0.66	0.66
COX6B2	NDUFV2	0.758	0.758
COX6B2	NDUFA12	0.766	0.766
COX6B2	UQCR10	0.97	0.97
COX6B2	NDUFA4	0.603	0.603
COX6B2	COX8C	0.681	0.681
COX6B2	NDUFV3	0.419	0.419
ATP5F1C	COX6B2	0.538	0.538
COX6B2	MT-CO1	0.94	0.94
COX6B2	MT-CYB	0.788	0.788
COX6B2	MT-CO2	0.944	0.944
COX6B2	MT-ND4	0.491	0.491
COX6B2	MT-CO3	0.942	0.942
COX6B2	MT-ND2	0.448	0.448
COX6B2	SDHC	0.423	0.423
COX6B2	NDUFS2	0.664	0.664
ATP5PB	COX6B2	0.458	0.458
COX6B2	COX7A2	0.771	0.771
COX6B2	NDUFA1	0.411	0.411
COX6B2	NDUFS5	0.467	0.467
COX6B2	NDUFA8	0.715	0.715
COX6B2	SDHB	0.506	0.506
COX6B2	SDHD	0.412	0.412
COX4I2	COX6B2	0.926	0.926
COX6B2	COX7A2L	0.695	0.695
COX6B2	UQCRQ	0.959	0.959
COX6B2	NDUFB6	0.792	0.792
ATP5MC1	COX6B2	0.516	0.516
COX6B2	NDUFA4L2	0.536	0.536
COX6B2	COX7B2	0.838	0.838
COX6B2	NDUFA11	0.55	0.55
ATP5PF	COX6B2	0.655	0.655
COX6B2	NDUFS1	0.476	0.476
COX6B2	NDUFB3	0.558	0.558
COX6B2	NDUFA5	0.777	0.777
COX6B2	NDUFA3	0.557	0.557
COX6B2	NDUFA13	0.554	0.554
COX6B2	COX7C	0.986	0.986
COX6B2	COX6C	0.96	0.96
COX6B2	UQCRB	0.983	0.983
COX6B2	DDIT3	0.442	0.442
COX4I1	COX6B2	0.91	0.91
COX6B2	NDUFAB1	0.572	0.572
COX6B1	COX6B2	0.906	0.906
COX6B2	UQCR11	0.927	0.927
ATP5MC2	COX6B2	0.587	0.587
COX6B2	NDUFV1	0.614	0.614
COX6B2	NDUFA6	0.757	0.757
COX6B2	COX7B	0.832	0.832
COX6B2	UQCRHL	0.863	0.863
COX6C	NDUFB4	0.985	0.985
COX6C	UQCRC1	0.965	0.965
ATP5F1D	COX6C	0.812	0.812
COX6C	NDUFB7	0.833	0.833
COX6A1	COX6C	0.999	0.999
COX6C	NDUFS7	0.787	0.787
ATP5F1E	COX6C	0.796	0.796
COX6C	NDUFA2	0.955	0.955
COX6C	NDUFA10	0.694	0.694
COX5B	COX6C	0.999	0.999
COX6C	NDUFB5	0.982	0.982
ATP5F1B	COX6C	0.513	0.513
COX6C	NDUFS3	0.846	0.846
COX6C	NDUFA9	0.802	0.802
COX6C	UQCRC2	0.967	0.967
COX6C	NDUFB10	0.939	0.939
COX6C	NDUFS6	0.907	0.907
COX6C	NDUFB9	0.985	0.985
COX6C	NDUFC2	0.913	0.913
ATP5MC3	COX6C	0.577	0.577
COX6A2	COX6C	0.995	0.995
ATP5PO	COX6C	0.828	0.828
COX6C	COX7A1	0.952	0.952
COX6C	NDUFS4	0.924	0.924
COX6C	NDUFB8	0.927	0.927
COX6C	NDUFA7	0.903	0.903
ATP5PD	COX6C	0.975	0.975
COX6C	UQCRFS1	0.978	0.978
COX6C	CYCS	0.926	0.926
COX6C	UQCRH	0.985	0.985
COX6C	NDUFS8	0.817	0.817
COX6C	CYC1	0.962	0.962
COX5A	COX6C	0.999	0.999
COX6C	COX8A	0.998	0.998
COX6C	NDUFV2	0.822	0.822
COX6C	NDUFA12	0.969	0.969
COX6C	UQCR10	0.997	0.997
COX6C	NDUFA4	0.999	0.999
COX6C	COX8C	0.719	0.719
COX6C	NDUFV3	0.835	0.835
ATP5F1C	COX6C	0.823	0.823
COX6C	MT-CO1	0.998	0.998
COX6C	MT-CYB	0.941	0.941
COX6C	MT-ND6	0.682	0.682
COX6C	MT-ND1	0.665	0.665
COX6C	MT-ND4L	0.597	0.597
COX6C	MT-ND5	0.636	0.636
COX6C	MT-CO2	0.999	0.999
COX6C	MT-ND4	0.63	0.63
COX6C	MT-CO3	0.995	0.995
COX6C	MT-ND2	0.662	0.662
COX6C	MT-ND3	0.623	0.623
COX6C	SDHC	0.545	0.545
COX6C	NDUFS2	0.742	0.742
ATP5PB	COX6C	0.74	0.74
COX6C	COX7A2	0.997	0.997
COX6C	NDUFA1	0.885	0.885
COX6C	NDUFS5	0.959	0.959
COX6C	NDUFA8	0.842	0.842
COX6C	SDHB	0.589	0.589
COX6C	SDHD	0.587	0.587
COX4I2	COX6C	0.982	0.982
COX6C	COX7A2L	0.951	0.951
COX6C	UQCRQ	0.998	0.998
COX6C	NDUFB6	0.89	0.89
ATP5MC1	COX6C	0.763	0.763
COX6C	NDUFA4L2	0.856	0.856
COX6C	COX7B2	0.951	0.951
ATP5F1A	COX6C	0.656	0.656
COX6C	NDUFA11	0.785	0.785
ATP5PF	COX6C	0.908	0.908
COX6C	NDUFS1	0.68	0.68
COX6C	NDUFB3	0.968	0.968
COX6C	NDUFA5	0.938	0.938
COX6C	NDUFA3	0.894	0.894
COX6C	NDUFB2	0.774	0.774
COX6C	NDUFA13	0.925	0.925
COX6C	COX7C	0.999	0.999
ATP5MC2	COX6C	0.551	0.551
COX6C	NDUFV1	0.713	0.713
COX6C	NDUFAB1	0.813	0.813
COX6C	NDUFB1	0.83	0.83
COX6C	NDUFC1	0.88	0.88
COX6C	NDUFA6	0.937	0.937
COX6B2	COX6C	0.96	0.96
COX6C	UQCRHL	0.968	0.968
COX6C	UQCRB	0.991	0.991
COX6C	UQCR11	0.994	0.994
COX4I1	COX6C	0.999	0.999
COX6B1	COX6C	0.999	0.999
COX6C	COX7B	0.999	0.999
COX7A1	NDUFB4	0.941	0.941
COX7A1	UQCRC1	0.998	0.998
COX7A1	NDUFB7	0.898	0.898
COX6A1	COX7A1	0.979	0.979
COX7A1	NDUFS7	0.893	0.893
COX7A1	NDUFA2	0.901	0.901
COX7A1	NDUFA10	0.874	0.874
COX5B	COX7A1	0.996	0.996
COX7A1	NDUFB5	0.878	0.878
COX7A1	NDUFS3	0.868	0.868
COX7A1	NDUFA9	0.92	0.92
COX7A1	UQCRC2	0.984	0.984
COX7A1	NDUFB10	0.859	0.859
COX7A1	NDUFS6	0.865	0.865
COX7A1	NDUFB9	0.891	0.891
COX7A1	NDUFC2	0.89	0.89
COX6A2	COX7A1	0.996	0.996
COX7A1	NDUFA4L2	0.456	0.456
COX7A1	COX8C	0.612	0.612
COX7A1	CYCS	0.696	0.696
COX7A1	COX8A	0.757	0.757
COX7A1	COX7B2	0.776	0.776
COX6B2	COX7A1	0.826	0.826
COX7A1	UQCRHL	0.843	0.843
COX7A1	NDUFA4	0.849	0.849
COX7A1	NDUFB2	0.851	0.851
COX7A1	MT-ND4L	0.853	0.853
COX7A1	NDUFB1	0.857	0.857
COX7A1	MT-ND6	0.858	0.858
COX7A1	MT-ND3	0.858	0.858
COX7A1	MT-ND4	0.859	0.859
COX7A1	MT-ND2	0.861	0.861
COX7A1	NDUFA7	0.862	0.862
COX7A1	NDUFS5	0.865	0.865
COX7A1	NDUFS8	0.868	0.868
COX7A1	MT-ND1	0.869	0.869
COX7A1	NDUFA12	0.869	0.869
COX7A1	NDUFA13	0.872	0.872
COX7A1	NDUFC1	0.874	0.874
COX7A1	NDUFS2	0.88	0.88
COX7A1	NDUFV2	0.881	0.881
COX7A1	NDUFA6	0.882	0.882
COX7A1	NDUFS4	0.883	0.883
COX7A1	NDUFA8	0.883	0.883
COX7A1	NDUFA3	0.887	0.887
COX7A1	NDUFAB1	0.888	0.888
COX7A1	NDUFV1	0.895	0.895
COX7A1	NDUFS1	0.895	0.895
COX7A1	NDUFA11	0.899	0.899
COX7A1	NDUFA5	0.901	0.901
COX7A1	NDUFB3	0.904	0.904
COX7A1	NDUFV3	0.908	0.908
COX4I2	COX7A1	0.909	0.909
COX7A1	NDUFB6	0.919	0.919
COX7A1	MT-ND5	0.92	0.92
COX7A1	COX7A2L	0.921	0.921
COX7A1	NDUFA1	0.925	0.925
COX7A1	NDUFB8	0.927	0.927
COX7A1	COX7A2	0.943	0.943
COX6C	COX7A1	0.952	0.952
COX7A1	MT-CYB	0.973	0.973
COX7A1	COX7B	0.977	0.977
COX7A1	MT-CO1	0.979	0.979
COX7A1	UQCRH	0.979	0.979
COX7A1	MT-CO3	0.979	0.979
COX7A1	CYC1	0.983	0.983
COX7A1	MT-CO2	0.984	0.984
COX7A1	UQCRFS1	0.985	0.985
COX7A1	UQCRQ	0.988	0.988
COX7A1	UQCR10	0.988	0.988
COX4I1	COX7A1	0.989	0.989
COX5A	COX7A1	0.994	0.994
COX7A1	COX7C	0.994	0.994
COX7A1	UQCRB	0.994	0.994
COX6B1	COX7A1	0.998	0.998
COX7A1	UQCR11	0.999	0.999
COX7A2	NDUFB4	0.677	0.677
COX7A2	UQCRC1	0.833	0.833
ATP5F1D	COX7A2	0.524	0.524
COX7A2	NDUFB7	0.656	0.656
COX7A2	PSMA3	0.403	0.403
COX7A2	PSMA2	0.422	0.422
COX6A1	COX7A2	0.998	0.998
COX7A2	NDUFS7	0.492	0.492
ATP5F1E	COX7A2	0.768	0.768
COX7A2	NDUFA2	0.903	0.903
COX7A2	NDUFA10	0.677	0.677
COX5B	COX7A2	0.997	0.997
COX7A2	NDUFB5	0.874	0.874
COX7A2	PSMA6	0.522	0.522
ATP5F1B	COX7A2	0.651	0.651
COX7A2	PSMB1	0.491	0.491
COX7A2	NDUFS3	0.662	0.662
COX7A2	SDHA	0.438	0.438
COX7A2	NDUFA9	0.562	0.562
COX7A2	UQCRC2	0.855	0.855
COX7A2	NDUFB10	0.547	0.547
COX7A2	PSMB6	0.441	0.441
COX7A2	NDUFS6	0.724	0.724
COX7A2	NDUFB9	0.947	0.947
COX7A2	NDUFC2	0.83	0.83
ATP5MC3	COX7A2	0.867	0.867
COX6A2	COX7A2	0.844	0.844
ATP5PO	COX7A2	0.808	0.808
COX7A1	COX7A2	0.943	0.943
COX7A2	NDUFS4	0.771	0.771
COX7A2	NDUFB8	0.884	0.884
COX7A2	NDUFA7	0.647	0.647
ATP5PD	COX7A2	0.929	0.929
COX7A2	UQCRFS1	0.846	0.846
COX7A2	CYCS	0.482	0.482
COX7A2	UQCRH	0.926	0.926
