gene,log2FC,p_value,t_statistic,mean_ALS,mean_Control,n_ALS,n_Control,adj_p_value,significant,neg_log10_pval,dataset,description
A28102_at,-0.06389970605890002,0.5127509484557143,-0.6843963654404958,10.534122996190863,11.011186363517174,7,4,0.7939512593617531,False,0.2900935276271688,GSE833,Spinal cord - human ALS
AB000114_at,-0.43748629090366975,0.1118188943602102,-1.7649054180550299,7.499884151437724,10.156663200115625,7,4,0.552998296081637,False,0.9514848062611556,GSE833,Spinal cord - human ALS
AB000115_at,-0.10246704663702111,0.3296821167561971,-1.0776398225066508,10.855251223751356,11.654282291453367,7,4,0.7185910452200878,False,0.4819046100444221,GSE833,Spinal cord - human ALS
AB000220_at,-0.09859730163062172,0.1754746183830152,-1.476429942638514,9.991625194069824,10.698351916982356,7,4,0.6204837940537217,False,0.7557856934054538,GSE833,Spinal cord - human ALS
AB000381_s_at,-0.37153452802550385,0.07971990359123508,-2.0506899150843796,6.875716965495643,8.895308781668518,7,4,0.514063426607692,False,1.0984332351825377,GSE833,Spinal cord - human ALS
AB000409_at,0.10850812623800649,0.7395880018493468,0.34536149093941104,7.911182829210537,7.337991772843803,7,4,0.9026000722454944,False,0.1310101429061686,GSE833,Spinal cord - human ALS
AB000449_at,-0.11443906250383569,0.710246429588802,-0.3935425748035438,7.7382241124259235,8.377045879156572,7,4,0.8875201519859757,False,0.14859094079936497,GSE833,Spinal cord - human ALS
AB000450_at,0.09223459774647247,0.7898095310829455,0.2838646431921275,8.765889330659192,8.223005918184644,7,4,0.9214444529301031,False,0.10247762968816282,GSE833,Spinal cord - human ALS
AB000460_at,-0.04442873805873973,0.28355595531594263,-1.143743998323604,13.070915145625108,13.479704697077699,7,4,0.7072382159519545,False,0.5473612271165049,GSE833,Spinal cord - human ALS
AB000462_at,-0.4720622394449377,0.34412489425808673,-1.0935804727136684,5.4087467515226555,7.502422904314301,7,4,0.7185910452200878,False,0.4632839090476115,GSE833,Spinal cord - human ALS
AB000464_at,-0.057120667794358364,0.49445357990032446,-0.7158380957358766,11.082597355328037,11.53019333378701,7,4,0.7844937452255837,False,0.30587447441955246,GSE833,Spinal cord - human ALS
AB000468_at,0.10945696293659352,0.37795469395810705,0.9837762238109372,11.788763468069334,10.927439858689484,7,4,0.7234570576825767,False,0.42256025662640084,GSE833,Spinal cord - human ALS
AB000584_at,-0.544005978441512,0.10303571956974117,-1.814687129275696,6.741661573031679,9.829446534838597,7,4,0.5393695928781234,False,0.9870121915783503,GSE833,Spinal cord - human ALS
AB000816_s_at,-0.508109540865259,0.18218887885344878,-1.7293410721607945,4.392317422778761,6.246689667346995,7,4,0.6227570741048805,False,0.7394781366933619,GSE833,Spinal cord - human ALS
AB000895_at,-0.48061827787404626,0.39100221895577075,-0.9999999999999997,4.392317422778761,6.128782879559098,7,4,0.7234570576825767,False,0.407820777955764,GSE833,Spinal cord - human ALS
AB000896_at,-0.04297208025479383,0.9206874502020621,-0.10444697738593636,7.235342007734857,7.454095452538766,7,4,0.9764241344071196,False,0.03588777663252665,GSE833,Spinal cord - human ALS
AB000897_at,-0.19049916893114802,0.3683636391510555,-0.9558388220895722,7.316038387126042,8.348759286410822,7,4,0.7234570576825767,False,0.4337232451836623,GSE833,Spinal cord - human ALS
AB000905_at,-0.14799747762987459,0.2312610431822123,-1.2838512879704527,9.391338494379738,10.405888648123474,7,4,0.6568387342626554,False,0.6358975196545019,GSE833,Spinal cord - human ALS
AB001106_at,-0.08351358503350637,0.0647515627134278,-2.104560774926631,12.59201633226635,13.34244350114061,7,4,0.4962972074615598,False,1.1887497458624816,GSE833,Spinal cord - human ALS
