gene,log2FC,p_value,t_statistic,mean_ALS,mean_Control,n_ALS,n_Control,adj_p_value,significant,neg_log10_pval,dataset,description
GENE_00000,0.5326283529769413,0.057663490399304705,1.9255922350648933,738.7404846957859,510.68698423843875,153,23,0.3044534867967513,False,1.2390990730945532,GSE124439,Spinal cord - human ALS patients
GENE_00001,1.2033848610693358,0.039018126857019726,2.079724218644501,1108.4926738347253,481.3687442069857,153,23,0.23762562032289722,False,1.4087335836136323,GSE124439,Spinal cord - human ALS patients
GENE_00002,-0.33239222592436496,0.42066253870661074,-0.8140179133230876,822.273604805414,1035.3242342773449,153,23,0.7830650385454407,False,0.37606616152090483,GSE124439,Spinal cord - human ALS patients
GENE_00003,-0.07742162012712707,0.8336870376238676,-0.2114287782935868,798.9733474422259,843.0212502068458,153,23,0.9521385228383111,False,0.07899695097050886,GSE124439,Spinal cord - human ALS patients
GENE_00004,0.47593616909403685,0.2118346338017585,1.2652026220981962,906.2889243783591,651.6218066950117,153,23,0.6094206956322166,False,0.6740030336556277,GSE124439,Spinal cord - human ALS patients
GENE_00005,0.36624548859221207,0.4239952688836134,0.8110083917514009,946.3081140015283,734.1447308095861,153,23,0.7845546592842074,False,0.37263898941953977,GSE124439,Spinal cord - human ALS patients
GENE_00006,-0.8850461542963387,0.16383031205093027,-1.4370971461545858,816.2936769072918,1507.5505115958626,153,23,0.5406940991779877,False,0.7856057415344663,GSE124439,Spinal cord - human ALS patients
GENE_00007,0.42701081739187596,0.2537656398955304,1.1558984049651115,861.2422320759613,640.5930953993478,153,23,0.6486770613434761,False,0.59556718213878,GSE124439,Spinal cord - human ALS patients
GENE_00008,0.7131535887828021,0.04206913223757932,2.081970933039013,974.3243086732524,594.3235182604822,153,23,0.24964852063425327,False,1.3760364461079782,GSE124439,Spinal cord - human ALS patients
GENE_00009,0.7440587476883799,0.05801447283729429,1.9243367593151253,999.6807090131717,596.8666453871639,153,23,0.3049905374077798,False,1.2364636497251236,GSE124439,Spinal cord - human ALS patients
GENE_00010,-0.5930135862808785,0.29103001014325575,-1.078168978088135,720.2846159654878,1086.4731958536538,153,23,0.6892665153014468,False,0.536062225558355,GSE124439,Spinal cord - human ALS patients
GENE_00011,-0.727910205734975,0.5391743215843279,-0.623551067285837,708.7772092165184,1173.9039133847725,153,23,0.8398013369666857,False,0.2682707994471163,GSE124439,Spinal cord - human ALS patients
GENE_00012,-0.2086227142357696,0.7217873782480775,-0.36011902376930804,749.5821061295932,866.2054369871612,153,23,0.9166718037186659,False,0.1415907166310961,GSE124439,Spinal cord - human ALS patients
GENE_00013,0.47833423646443757,0.12015499869601005,1.5639652858500688,820.6915852407333,589.0972934074662,153,23,0.45686311291258574,False,0.9202581569371834,GSE124439,Spinal cord - human ALS patients
GENE_00014,-2.043702487453224,0.08677923534193722,-1.7915105347537172,336.83922189411106,1388.7958382146792,153,23,0.3905456136000775,False,1.06158418098994,GSE124439,Spinal cord - human ALS patients
GENE_00015,0.804558875821207,0.016816724781304332,2.4523408117095067,841.8879555173831,482.01210100794316,153,23,0.13806834795816364,False,1.7742585833247602,GSE124439,Spinal cord - human ALS patients
GENE_00016,0.10873793073118687,0.8411882378320245,0.20081184593048973,1031.8025055436747,956.8926072479926,153,23,0.9537601728301084,False,0.07510680859670156,GSE124439,Spinal cord - human ALS patients
GENE_00017,0.5516540064358657,0.11153291600534909,1.6292024470494326,646.995231868534,441.4044192505405,153,23,0.44150872366844013,False,0.9525969431104396,GSE124439,Spinal cord - human ALS patients
GENE_00018,-0.49199251938921074,0.30317079048640944,-1.0495058423710675,894.7581582498024,1258.3752644299236,153,23,0.6964239603726022,False,0.518312643876582,GSE124439,Spinal cord - human ALS patients
GENE_00019,-0.40833890258924077,0.44590184390167464,-0.7742444759235454,813.4490444757394,1079.5744841681046,153,23,0.7960391667285003,False,0.3507607317439861,GSE124439,Spinal cord - human ALS patients
GENE_00020,-0.36561107416064653,0.5203572078067749,-0.6519068464973853,899.6153822622254,1159.0889692249436,153,23,0.8316720144031118,False,0.28369842536471906,GSE124439,Spinal cord - human ALS patients
GENE_00021,-0.1154474700888536,0.8542497416393584,-0.18511681072882374,691.4318568811682,749.03573355218,153,23,0.9554246956186302,False,0.06841514387788902,GSE124439,Spinal cord - human ALS patients
GENE_00022,0.503300595918751,0.16231395343351934,1.4065019863759256,933.3951524019338,658.5017975754657,153,23,0.5381762381747989,False,0.7896441441374044,GSE124439,Spinal cord - human ALS patients
GENE_00023,-0.36444143671292417,0.5530429736724694,-0.6017291231893255,646.6227824108192,832.4512429995553,153,23,0.8464079792967085,False,0.257241120949013,GSE124439,Spinal cord - human ALS patients
GENE_00024,0.5839690776344474,0.039691625103323504,2.093995391254585,724.2087128383542,483.13837753218615,153,23,0.2408472397046329,False,1.4013011193100853,GSE124439,Spinal cord - human ALS patients
GENE_00025,-0.07130797659676737,0.7731689943801044,-0.2900344101751302,674.4374042051437,708.6103446331122,153,23,0.933778978719933,False,0.11172557036984664,GSE124439,Spinal cord - human ALS patients
GENE_00026,-0.23703817536823027,0.4375176883635694,-0.7853385484280676,736.3331269876791,867.8205706576656,153,23,0.791141722646285,False,0.35900438423388875,GSE124439,Spinal cord - human ALS patients
GENE_00027,-0.17330000416441332,0.7561486995879813,-0.3131135714699339,792.2821026656271,893.404930677211,153,23,0.9281650038983317,False,0.12139279039798803,GSE124439,Spinal cord - human ALS patients
GENE_00028,-1.6377354972213705,0.13725102453186594,-1.5414982728792992,549.5807033177299,1710.1688242960986,153,23,0.4944201171897188,False,0.8624844050062842,GSE124439,Spinal cord - human ALS patients
GENE_00029,0.6089824975192943,0.20112877469644638,1.293636489716838,967.6171399222085,634.4268489746722,153,23,0.597336755863283,False,0.6965257921684674,GSE124439,Spinal cord - human ALS patients
GENE_00030,0.3964412700385802,0.33819190530250587,0.9708575881062949,667.802606895952,507.3496864068701,153,23,0.726994843375877,False,0.4708367915476383,GSE124439,Spinal cord - human ALS patients
GENE_00031,0.4529575565349246,0.22804697162785886,1.2250340463875562,807.0758257749891,589.6041447984961,153,23,0.6269580459299613,False,0.6419756906409456,GSE124439,Spinal cord - human ALS patients
GENE_00032,-1.7967708468333683,0.11876269783807447,-1.62207561974954,487.87364059902666,1695.0763884314845,153,23,0.4543104884486226,False,0.9253199454404177,GSE124439,Spinal cord - human ALS patients
GENE_00033,-0.18935082698376376,0.6496531337989215,-0.4577495379237496,828.5004106269431,944.698023291821,153,23,0.8897952287814703,False,0.18731846225827473,GSE124439,Spinal cord - human ALS patients
GENE_00034,0.2921119733640782,0.44089440440028826,0.7775028683834352,890.4924869085964,727.2702015676783,153,23,0.7930671636493658,False,0.3556654129756704,GSE124439,Spinal cord - human ALS patients
GENE_00035,-0.13454556534825943,0.7927752500905605,-0.26529897206035674,795.3775048783726,873.1232538562115,153,23,0.9401529852127132,False,0.10084991669240746,GSE124439,Spinal cord - human ALS patients
GENE_00036,-0.650416692637744,0.29751069862783946,-1.0638721717889406,694.3072948289627,1089.7996457988404,153,23,0.6943690498419751,False,0.526497412216134,GSE124439,Spinal cord - human ALS patients
GENE_00037,-0.9997971160405711,0.12059035270685665,-1.6117610173470343,656.5105767654322,1312.8365183912822,153,23,0.4581700330807624,False,0.9186874345985604,GSE124439,Spinal cord - human ALS patients
GENE_00038,0.8673491891975299,0.022065192682895418,2.3349158168380413,989.4189726407423,542.3530805435386,153,23,0.16442021373245466,False,1.6562922757512157,GSE124439,Spinal cord - human ALS patients
GENE_00039,1.7984876716416556,0.0006942012629447497,3.4548766398355037,1801.918351544482,518.0078871815643,153,23,0.014028301780824088,True,3.1585146005617015,GSE124439,Spinal cord - human ALS patients
GENE_00040,1.1778255825347803,0.0005038842502802534,3.5901742052168277,873.607398787432,386.14949704848766,153,23,0.010812966744211444,True,3.2976692160107213,GSE124439,Spinal cord - human ALS patients
GENE_00041,0.22937985167834593,0.5775131876900379,0.5603854316703959,1007.4972917875174,859.3966801065145,153,23,0.8588833844289677,False,0.23843809407543848,GSE124439,Spinal cord - human ALS patients
GENE_00042,-0.3255620590461647,0.5133169828300695,-0.6617535854639555,810.7220313377474,1015.9583880406551,153,23,0.8284651110879108,False,0.289614367090539,GSE124439,Spinal cord - human ALS patients
GENE_00043,1.0133733620686305,0.012344584592942414,2.5743319561529887,851.8671698954179,422.00354818584816,153,23,0.11204686755922882,False,1.9085235199101198,GSE124439,Spinal cord - human ALS patients
GENE_00044,0.9689897659534097,0.013373656138122582,2.5154402883024782,992.8861605211507,507.22946314793217,153,23,0.11856078136633495,False,1.8737498475213255,GSE124439,Spinal cord - human ALS patients
GENE_00045,2.016858314529303,2.010440221497781e-08,5.884750897980113,2069.3379710837553,511.3244703720239,153,23,5.58455617082717e-06,True,7.696708835696915,GSE124439,Spinal cord - human ALS patients
GENE_00046,-2.176976070278742,0.117424875565701,-1.6285446394822405,298.8837499190779,1351.5664428277228,153,23,0.4523300291436864,False,0.9302398913632194,GSE124439,Spinal cord - human ALS patients
GENE_00047,0.7475915159440442,0.13558341215469014,1.5262267223099601,1007.8588299469222,600.2777337387861,153,23,0.4902435160559946,False,0.8677934406337873,GSE124439,Spinal cord - human ALS patients
GENE_00048,-0.9048741440916723,0.09932301912924746,-1.7124272690129718,791.2278399925788,1481.4800909409473,153,23,0.4205467554136355,False,1.0029500876349529,GSE124439,Spinal cord - human ALS patients
