pert_iname,Q1_raw_cs,Q2_raw_cs,mean_cs,moa,target_name,Q1_rank,Q2_rank
tanaproget,-0.5778,-0.3646,-0.47119999999999995,Progesterone receptor agonist,PGR,1,11
testosterone,-0.5212,-0.3872,-0.4542,Androgen receptor agonist,AR|CYP2C19|CYP2C8|CYP3A5|CYP19A1,4,3
pregnenolone,-0.4966,-0.3589,-0.42774999999999996,Glutamate receptor modulator,PGR|CYP17A1|SULT2B1,7,15
clofarabine,-0.4631,-0.391,-0.42705000000000004,Ribonucleoside reductase inhibitor,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B,31,2
aloisine,-0.4898,-0.349,-0.4194,CDK inhibitor|CFTR channel agonist|GSK inhibitor,CDK2,12,24
oxiconazole,-0.4787,-0.3571,-0.4179,Bacterial cell wall synthesis inhibitor,,17,19
PHA-767491,-0.4887,-0.3453,-0.41700000000000004,CDC inhibitor,CDK1|RPS6KB1,13,27
BRD-K59573506,-0.4868,-0.3421,-0.41445,Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist,AR|ADORA1,15,36
cytarabine,-0.4717,-0.3557,-0.4137,Ribonucleoside reductase inhibitor,POLA1|POLB|POLD1|POLE,23,21
miglustat,-0.4494,-0.3759,-0.41265,Glycosylation inhibitor,UGCG|GAA|SLC5A4,43,6
emetine,-0.4911,-0.3341,-0.41259999999999997,Protein synthesis inhibitor,RPS2,9,47
vemurafenib,-0.4899,-0.333,-0.41145,RAF inhibitor,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1,11,48
quercetin,-0.4733,-0.3443,-0.4088,Polar auxin transport inhibitor,PIK3CG|AKR1B1|CYP2C8|EGFR|GAA|MAOA|PTPN1|SCN5A|SIRT1|XDH|ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIM1|STK17B|UGT3A1,21,28
AMG-487,-0.4477,-0.3693,-0.4085,CC chemokine receptor antagonist,CXCR3,47,9
pindolol,-0.458,-0.3514,-0.4047,Adrenergic receptor antagonist,ADRB1|ADRB2|HTR1A|HTR1B|HTR2A|HTR2B,34,23
drospirenone,-0.4501,-0.3379,-0.394,Mineralocorticoid receptor antagonist,NR3C2|PGR|AR,42,43
