Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
VCPIP1,0.26689513,0.031889462,0.0839,1,-0.18299512999999998,ambiguous
SH3BGRL2,0.306638087,0.032107617,-0.0788,1,-0.385438087,ambiguous
LTN1,0.281887913,0.032508828,0.165,1,-0.11688791299999998,ambiguous
AQP4,0.491062289,0.032719044,1.95,1,1.458937711,ambiguous
CLINT1,0.182265413,0.033112531,-0.725,1,-0.907265413,ambiguous
CUL5,0.26733575,0.033112531,-0.847,1,-1.11433575,ambiguous
CASK,0.151026629,0.03335515,0.156,1,0.004973371000000004,ambiguous
UBA2,0.174257137,0.033588634,-0.0256,1,-0.19985713700000002,ambiguous
IGBP1,0.225977704,0.033745855,0.405,1,0.17902229600000003,ambiguous
HSPA8,0.291354406,0.033745855,0.119,1,-0.17235440600000002,ambiguous
GSTM2,-0.216896878,0.034286295,-0.1,1,0.11689687799999998,ambiguous
HSPD1,0.316793097,0.034582752,-0.174,1,-0.490793097,ambiguous
MTMR2,0.255636626,0.035240003,0.0716,1,-0.18403662599999998,ambiguous
VPS52,-0.144176154,0.035252169,-0.13,1,0.014176153999999996,ambiguous
HNRNPA3,0.19690268,0.03530189,-0.23,1,-0.42690268,ambiguous
CCDC6,0.247066707,0.035640797,-0.469,1,-0.716066707,ambiguous
SACS,0.259636208,0.035923901,0.388,1,0.12836379200000003,ambiguous
ACSL3,0.288211679,0.036096055,-0.463,1,-0.7512116790000001,ambiguous
XRCC5,0.219411602,0.036479936,-0.584,1,-0.803411602,ambiguous
NDUFA10,-0.147356638,0.036882521,-0.0587,1,0.08865663800000001,ambiguous
ULK3,-0.286749564,0.037005318,-0.0508,1,0.235949564,ambiguous
ACTR2,0.283873616,0.037162365,-0.352,1,-0.635873616,ambiguous
