"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","condition","comparison"
"Q9UHB9","SRP68",-0.273,0.656542679900102,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"Q8IYB3","SRRM1",0.113,0.566771213275774,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"Q9UQ35","SRRM2",0.0859,0.551023838733494,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"P05455","SSB",0.131,0.545701627261238,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"P45880","VDAC2",-0.0845,0.588550079929639,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"O75554","WBP4",-0.194,0.499996370461464,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"Q9BUR4","WRAP53",0.161,0.567466810317193,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"P61981","YWHAG",0.0849,0.605142964305814,0.989,FALSE,"CTRL","C9ALS_vs_Control"
"P53396","ACLY",0.106,0.840453148430728,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q92572","AP3S1",0.00787,0.967505890251347,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q8WWM7","ATXN2L",0.0542,0.774411466198577,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q4VC05","BCL7A",0.0724,0.779658850399859,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9H8M2","BRD9",-0.0269,0.913162325517317,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q6ZUT1","C11orf57",0.0492,0.793552978970456,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"E9PRG8","C11orf98",-0.0199,0.917903056597198,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q03701","CEBPZ",0.13,0.789124621241307,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q8TD26","CHD6",0.0256,0.905783397757715,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9P2D1;Q3L8U1","CHD7",-0.0559,0.77416550458245,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q8NFW8","CMAS",-0.00521,0.978720925786982,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q10570","CPSF1",0.0358,0.86257944793399,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9NVP1","DDX18",0.0295,0.94522872578296,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q7L014","DDX46",0.0564,0.776724875730509,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q14195;Q14117","DPYSL3",0.000958,0.998161738837547,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P84090","ERH",-0.0533,0.796756482252395,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q96CS3","FAF2",0.0572,0.828104737606654,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9NY12","GAR1",0.0216,0.9295752073292,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9NZM4","GLTSCR1",-0.042,0.847076193220005,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q6AI39","GLTSCR1L",0.066,0.805374577771727,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9BRR8","GPATCH1",-0.0111,0.953256951095782,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P07305","H1F0",-0.0842,0.808930193993457,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q92522","H1FX",0.0361,0.89878653362089,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P08238;Q58FF7;Q58FF6","HSP90AB1",0.0184,0.930750632167854,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P0DMV9;P0DMV8","HSPA1B",-0.0495,0.861697024011997,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P00338;Q6ZMR3;P07864","LDHA",-0.354,0.850128170381288,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q03252","LMNB2",-0.0742,0.783507041989444,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P62312","LSM6",-0.00889,0.992127231718131,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"A0JLT2","MED19",-0.0486,0.825450924286172,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P55769","NHP2L1",0.0207,0.901755658352514,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q86U86","PBRM1",0.0697,0.836181909103512,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P17858","PFKL",-0.0782,0.787278104478626,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P07737;CON__P02584","PFN1",-0.252,0.814286424376449,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P35080","PFN2",0.0576,0.838700986265462,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q13523","PRPF4B",-0.00113,0.994889790721891,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q8WXF1","PSPC1",-0.111,0.79589628426149,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P62826","RAN",0.0289,0.838103583853449,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q7Z6E9","RBBP6",-0.00667,0.963668413191236,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"O43251;Q9NWB1;A6NFN3","RBFOX2",-0.0458,0.910313078598267,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q96LT9","RNPC3",-0.0352,0.927511377242554,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q8TA86","RP9",0.0659,0.81553065686082,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P27635;Q96L21","RPL10",0.0353,0.80951416941682,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P30050","RPL12",-0.0273,0.905686864732968,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P62750","RPL23A",-0.00731,0.965645538924942,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P04843","RPN1",0.0494,0.786443122563469,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P62269","RPS18",-0.00547,0.970928326936767,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P62266","RPS23",-0.0847,0.776711757203063,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P62241","RPS8",-0.00711,0.976776883915828,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q5VWQ0","RSBN1",0.0147,0.933637275860663,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"O76021","RSL1D1",-0.0115,0.93250092154889,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P05141;Q9H0C2","SLC25A5",0.0343,0.902683215604768,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q92504","SLC39A7",-0.0875,0.770506970171463,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P51532","SMARCA4",-0.0331,0.895686691347479,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9NUQ6","SPATS2L",0.12,0.849586104326036,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9Y3F4","STRAP",-0.0376,0.909566416897962,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P17987","TCP1",0.0322,0.829141828233511,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q3B726","TWISTNB",0.0276,0.952645290241461,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P26368","U2AF2",0.0386,0.93817099083199,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q9H9J4","USP42",0.0239,0.919271893483255,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q96MU7","YTHDC1",-0.0821,0.787706236231051,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P31946","YWHAB",-0.123,0.789933182716002,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"Q6NZY4","ZCCHC8",-0.0106,0.952484397709639,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"P17026","ZNF22",-0.0421,0.818059693756302,0.99,FALSE,"CTRL","C9ALS_vs_Control"
"O95218","ZRANB2",0.0502,0.834490790156317,0.99,FALSE,"CTRL","C9ALS_vs_Control"
