ENTREZID	SYMBOL
10612	TRIM3
5504	PPP1R2
8893	EIF2B5
2948	GSTM4
2440	FRA11C
3474	IFNWP19
9019	MPZL1
7691	ZNF132
1275	COD2
1002	CDH4
1345	COX6C
5976	UPF1
1761	DMRT1
7864	SCLC1
391	RHOG
5178	PEG3
274	BIN1
6709	SPTAN1
10744	PTTG2
730	C7
1018	CDK3
6564	SLC15A1
7532	YWHAG
4051	CYP4F3
5535	PPP3R2
2457	FRA14B
9903	KLHL21
6723	SRM
11075	STMN2
2406	FRA6F
9552	SPAG7
10749	KIF1C
6174	RPL7P1
2856	GPR33
5695	PSMB7
8662	EIF3B
11122	PTPRT
9781	RNF144A
596	BCL2
8388	OR1E2
2280	FKBP1A
5187	PER1
6442	SGCA
243	ALOX12P1
2596	GAP43
9570	GOSR2
7337	UBE3A
6550	SLC9A3
9531	BAG3
3659	IRF1
6901	TAFAZZIN
25839	COG4
6386	SDCBP
8718	TNFRSF25
23187	PHLDB1
1467	CSRP2P1
9173	IL1RL1
2653	GCSH
10505	SEMA4F
5777	PTPN6
7164	TPD52L1
1680	DFNX3
119	ADD2
432	ASGR1
10783	NEK6
1040	CDS1
10489	LRRC41
10172	ZNF256
7389	UROD
11260	XPOT
2892	GRIA3
2034	EPAS1
10739	RFPL2
5147	PDE6D
5259	PHKBP2
10992	SF3B2
1132	CHRM4
1674	DES
2992	GYG1
9657	IQCB1
9940	DLEC1
4914	NTRK1
1956	EGFR
9510	ADAMTS1
1889	ECE1
6225	RPS20P3
5120	PCOS1
6469	SHH
5869	RAB5B
4378	MRX14
489	ATP2A3
6967	TRGC2
10318	TNIP1
8572	PDLIM4
6545	SLC7A4
9995	ELK2BP
9319	TRIP13
153	ADRB1
5924	RASGRF2
4953	ODC1
6139	RPL17
7564	ZNF16
7754	ZNF204P
136	ADORA2B
1485	CTAG1B
3778	KCNMA1
3425	IDUA
2059	EPS8
6357	CCL13
1106	CHD2
1879	EBF1
6426	SRSF1
5586	PKN2
7446	AVSD1
9515	STXBP5L
9846	GAB2
272	AMPD3
23052	ENDOD1
384	ARG2
6304	SATB1
8091	HMGA2
771	CA12
9274	BCL7C
7705	ZNF146
8384	OR1D3P
8411	EEA1
25852	ARMC8
5376	PMP22
5283	PIGH
4174	MCM5
2358	FPR2
6563	SLC14A1
10894	LYVE1
3298	HSF2
5167	ENPP1
7351	UCP2
1938	EEF2
5628	PROS2P
3529	IGKV2OR22-3
5562	PRKAA1
10735	STAG2
10154	PLXNC1
4097	MAFG
9950	GOLGA5
24150	TP53TG3
3663	IRF5
2865	FFAR3
9258	MFHAS1
6817	SULT1A1
3234	HOXD8
517	ATP5MC2
8602	NOP14
9482	STX8
4255	MGMT
1987	EIF5AP3
4495	MT1G
8854	ALDH1A2
5082	PDCL
325	APCS
5216	PFN1
5080	PAX6
6932	TCF7
10411	RAPGEF3
9770	RASSF2
4802	NFYC
23732	FRRS1L
10790	NUDCP1
5494	PPM1A
361	AQP4
7214	TRN-GTT2-7
5644	PRSS1
5957	RCVRN
8803	SUCLA2
8808	IL1RL2
9875	URB1
8847	DLEU2
10000	AKT3
3157	HMGCS1
8344	H2BC6
23321	TRIM2
10975	UQCR11
7780	SLC30A2
3475	IFRD1
2532	ACKR1
4155	MBP
9227	LRAT
8148	TAF15
1539	CYLC2
1512	CTSH
8175	SF3A2
8161	COIL
10062	NR1H3
1982	EIF4G2
10808	HSPH1
2331	FMOD
6586	SLIT3
8576	STK16
6150	MRPL23
1968	EIF2S3
11248	NXPH3
10751	OFD1P18Y
11067	DEPP1
3451	IFNA17
7855	FZD5
8774	NAPG
5648	MASP1
9908	G3BP2
471	ATIC
4258	MGST2
5994	RFXAP
6175	RPLP0
10068	IL18BP
6649	SOD3
5775	PTPN4
9730	DCAF1
8104	MCOR
5110	PCMT1
7694	ZNF135
8504	PEX3
3048	HBG2
4595	MUTYH
3805	KIR2DL4
7139	TNNT2
8082	SSPN
22984	PDCD11
1628	DBP
5111	PCNA
23521	RPL13A
8739	HRK
23112	TNRC6B
4325	MMP16
3728	JUP
9968	MED12
353	APRT
5438	POLR2I
3797	KIF3C
10755	GIPC1
5540	NPY4R
23001	WDFY3
7716	VEZF1
7030	TFE3
8943	AP3D1
10961	ERP29
2778	GNAS
2128	EVX1
2868	GRK4
4603	MYBL1
2735	GLI1
259	AMBP
10078	TSSC4
10673	TNFSF13B
6456	SH3GL2
2310	FOXO3B
6252	RTN1
2124	EVI2B
8026	DGS2
9556	ATP5MJ
2202	EFEMP1
4488	MSX2
10605	PAIP1
9820	CUL7
1262	CNGA4
3014	H2AX
3031	HADHAP1
4759	NEU2
10974	ADIRF
2894	GRID1
7338	UBE3AP1
9038	TAAR5
8864	PER2
10346	TRIM22
8404	SPARCL1
5593	PRKG2
2937	GSS
7197	TRG-TCC1-1
8390	OR1G1
468	ATF4
10560	SLC19A2
6041	RNASEL
22798	LAMB4
826	CAPNS1
4792	NFKBIA
7799	PRDM2
11231	SEC63
10338	H3P26
10991	SLC38A3
8972	MGAM
6104	RP6
6513	SLC2A1
4215	MAP3K3
8213	BAS
8544	PIR
23411	SIRT1
15	AANAT
1204	CLNS1AP1
9951	HS3ST4
10143	CLEC3A
9862	MED24
1294	COL7A1
8895	CPNE3
266	AMELY
1981	EIF4G1
4045	LSAMP
5272	SERPINB9
4713	NDUFB7
5747	PTK2
22889	KHDC4
2953	GSTT2
9924	PAN2
5454	POU3F2
3042	HBM
10069	RWDD2B
8050	PDHX
5967	REG1A
6884	TAF13
9412	MED21
6076	SNORD13P1
4685	NCAM2
3476	IGBP1
196	AHR
6043	SNORA63
382	ARF6
10118	EMWX
7804	LRP8
22832	CEP162
2804	GOLGB1
1421	CRYGD
9442	MED27
1057	CELP
5290	PIK3CA
2488	FSHB
1156	CKBE
3746	KCNC1
1382	CRABP2
9088	PKMYT1
9679	FAM53B
7396	USH1E
1489	CTF1
11219	TREX2
11112	HIBADH
487	ATP2A1
6192	RPS4Y1
9048	ARTN
7219	TRP-TGG3-1
5100	PCDH8
25809	TTLL1
1041	CDSN
7709	ZBTB17
2909	ARHGAP35
9077	DIRAS3
8401	SCZD7
3985	LIMK2
5489	PPIAP7
10867	TSPAN9
6187	RPS2
9567	GTPBP1
7385	UQCRC2
1339	COX6A2
1297	COL9A1
4798	NFRKB
8621	CDK13
4574	TRNS1
732	C8B
1770	DNAH9
6369	CCL24
23099	ZBTB43
7345	UCHL1
4208	MEF2C
2246	FGF1
9451	EIF2AK3
1713	DFNB20
23590	PDSS1
11277	TREX1
3812	KIR3DL2
3801	KIFC3
2946	GSTM2
8633	UNC5C
2468	FRA18B
4943	TBC1D25
10102	TSFM
9648	GCC2
9547	CXCL14
5618	PRLR
4893	NRAS
2150	F2RL1
8418	CMAHP
1540	CYLD
1371	CPOX
8563	THOC5
8833	GMPS
8842	PROM1
9435	CHST2
1284	COL4A2
9366	RAB9BP1
9587	MAD2L1BP
10316	NMUR1
8560	DEGS1
10730	YME1L1
2350	FOLR2
1596	ADAM3B
10916	MAGED2
5294	PIK3CG
3811	KIR3DL1
10561	IFI44
2591	GALNT3
2886	GRB7
9926	LPGAT1
10554	AGPAT1
1876	E2F6
523	ATP6V1A
1466	CSRP2
3756	KCNH1
9456	HOMER1
4553	TRNA
5373	PMM2
2905	GRIN2C
4942	OAT
5612	THAP12
8727	CTNNAL1
7117	TMSB4XP8
6771	STARP1
8151	WT4
1104	RCC1
22897	CEP164
2887	GRB10
10262	SF3B4
9145	SYNGR1
4284	MIP
9843	HEPH
10668	CGRRF1
8392	OR3A3
22905	EPN2
1591	CYP24A1
3045	HBD
6840	SVIL
8436	CAVIN2
8748	ADAM20
2611	GAPDHP69
10412	NSA2
2823	GPM6A
5913	RAPSN
3965	LGALS9
14	AAMP
3821	KLRC1
3236	HOXD10
10295	BCKDK
1807	DPYS
7411	VBP1
23621	BACE1
5827	PXMP2
8706	B3GALNT1
810	CALML3
10350	ABCA9
6173	RPL36A
22880	MORC2
8477	GPR65
8294	H4C9
228	ALDOAP2
1473	CST5
10551	AGR2
5608	MAP2K6
10548	TM9SF1
5681	PSKH1
2441	FRA11D
4899	NRF1
1213	CLTC
5148	PDE6G
8882	ZPR1
270	AMPD1
5212	VIT
4077	NBR1
22982	DIP2C
25775	YWHAH-AS1
5708	PSMD2
10249	GLYAT
4839	NOP2
9177	HTR3B
5872	RAB13
6219	RPS17P2
2648	KAT2A
1236	CCR7
8105	BRCD1
22797	TFEC
2954	GSTZ1
9573	GDF3
2053	EPHX2
8763	CD164
4008	LMO7
3824	KLRD1
5077	PAX3
10325	RRAGB
8218	CLTCL1
7937	RWS
11137	PWP1
924	CD7
7775	ZNF232
7136	TNNI2
6827	SUPT4H1
4067	LYN
6364	CCL20
2360	FRA1A
7478	WNT8A
7232	TRR-TCG4-1
6372	CXCL6
23676	SMPX
6324	SCN1B
6171	RPL41
419	ART3
122	ADFN
3680	ITGA9
3841	KPNA5
1603	DAD1
1267	CNP
7011	TEP1
3930	LBR
3141	HLCS
7325	UBE2E2
7459	WBSCR2
7462	LAT2
11097	NUP42
3889	KRT83
7264	GFUS
5322	PLA2G5
2502	FTH1P10
8824	CES2
9132	KCNQ4
9304	SNORD22
217	ALDH2
2671	GFER
1311	COMP
5480	PPIC
6294	SAFB
359	AQP2
7167	TPI1
342	APOC1P1
5710	PSMD4
4589	MUC7
10274	STAG1
1212	CLTB
12	SERPINA3
9121	SLC16A5
4699	NDUFA5P1
4173	MCM4
10964	IFI44L
3396	MRPL58
10299	MARCHF6
6035	RNASE1
7046	TGFBR1
8450	CUL4B
4141	MARS1
8309	ACOX2
5269	SERPINB6
8575	PRKRA
6299	SALL1
6427	SRSF2
8668	EIF3I
9971	NR1H4
8904	CPNE1
7597	ZBTB25
2016	EMX1
9708	PCDHGA8
5217	PFN2
23752	TSSK1A
1604	CD55
6331	SCN5A
7128	TNFAIP3
23131	GPATCH8
1397	CRIP2
7179	TPTE
11156	PTP4A3
2411	FRA7D
5764	PTN
1187	CLCNKA
1006	CDH8
3881	KRT31
23179	RGL1
3913	LAMB2
10158	PDZK1IP1
6850	SYK
9617	MTRF1
7045	TGFBI
5987	TRIM27
3263	HPX
7465	WEE1
4332	MNDA
1270	CNTF
3281	HSBP1
7202	TRI-AAT9-1
9049	AIP
4716	NDUFB10
22816	CRIPTOP2
6494	SIPA1
25841	ABTB2
5277	PIGA
10141	LINC01587
2588	GALNS
7976	FZD3
3355	HTR1F
7401	CLRN1
7407	VARS1
3580	CXCR2P1
22818	COPZ1
22879	MON1B
6063	RNVU1-2A
7156	TOP3A
3925	STMN1
22811	MBS3
6672	SP100
1474	CST6
23414	ZFPM2
3542	IGLC6
7634	ZNF80
10990	LILRB5
9262	STK17B
5781	PTPN11
10514	MYBBP1A
5169	ENPP3
1877	E4F1
7366	UGT2B15
6404	SELPLG
7333	UBE2L4
4654	MYOD1
1264	CNN1
7208	TRL-TAG1-1
5092	PCBD1
25804	LSM4
9541	CIR1
1116	CHI3L1
5161	PDHA2
9705	ST18
3204	HOXA7
9857	CEP350
4572	TRNQ
10499	NCOA2
3692	EIF6
3846	KRTAP5-9
10340	H2BC16P
9668	ZNF432
2121	EVC
310	ANXA7
10660	LBX1
335	APOA1
1050	CEBPA
715	C1R
4686	NCBP1
7956	NTT
4104	MAGEA5P
8872	CDC123
6378	SCZD2
9467	SH3BP5
9152	SLC6A5
5104	SERPINA5
5026	P2RX5
4330	MN1
2263	FGFR2
4321	MMP12
8520	HAT1
2550	GABBR1
8639	AOC3
9644	SH3PXD2A
10688	CRSP5
4536	ND2
5383	PMS2P5
10296	MAEA
11104	KATNA1
4342	MOS
4915	NTRK2
1955	MEGF9
23016	EXOSC7
6362	CCL18
25807	RHBDD3
8858	PROZ
4238	MFAP3
9733	SART3
1059	CENPB
7498	XDH
2472	FRA20B
7580	ZNF32
2042	EPHA3
1973	EIF4A1
4939	OAS2
412	STS
2412	FRA7E
11016	ATF7
9204	ZMYM6
25845	SLC9A3-OT1
5603	MAPK13
3494	IGHA2
2821	GPI
3568	IL5RA
6086	RNY4
1244	ABCC2
4952	OCRL
5222	PGA5
6944	VPS72
4821	NKX2-2
3455	IFNAR2
2784	GNB3
9024	BRSK2
1401	CRP
6376	CX3CL1
22948	CCT5
3822	KLRC2
9039	UBA3
8273	SLC10A3
406	BMAL1
6844	VAMP2
8023	H142T
10494	STK25
5053	PAH
1499	CTNNB1
3703	STT3A
3735	KARS1
1809	DPYSL3
6643	SNX2
5813	PURA
2582	GALE
23746	AIPL1
9371	KIF3B
23072	HECW1
2492	FSHR
8565	YARS1
339	APOBEC1
8205	TAM
10952	SEC61B
916	CD3E
2942	GSTA6P
1801	DPH1
9641	IKBKE
9638	FEZ1
23209	MLC1
5063	PAK3
6314	ATXN7
2104	ESRRG
25814	ATXN10
10885	WDR3
10360	NPM3
1056	CEL
8427	ZNF282
1670	DEFA5
6420	SF
23201	FAM168A
11282	MGAT4B
5836	PYGL
2947	GSTM3
2455	FRA13C
9663	LPIN2
4963	OFC1
9086	EIF1AY
4837	NNMT
4657	MYP1
2066	ERBB4
2312	FLG
24144	TFIP11
9140	ATG12
9363	RAB33A
9737	GPRASP1
7909	HEMC
9350	CER1
10637	LEFTY1
26	AOC1
23468	CBX5
757	TMEM50B
3163	HMOX2
1669	DEFA4
4189	DNAJB9
5332	PLCB4
3320	HSP90AA1
1375	CPT1B
7783	ZP2
1465	CSRP1
10984	KCNQ1OT1
2900	GRIK4
6363	CCL19
6358	CCL14
8747	ADAM21
5184	PEPD
6084	RNY1
6923	ELOB
7050	TGIF1
9538	EI24
8720	MBTPS1
9921	RNF10
22866	CNKSR2
2489	FSHMD1A
9545	RAB3D
6224	RPS20
4635	MYL4
4606	MYBPC2
1352	COX10
10623	POLR3C
2184	FAH
2534	FYN
9842	PLEKHM1
11155	LDB3
23629	BRD7P3
22998	LIMCH1
3515	IGKDEL
2631	NIPSNAP2
929	CD14
10281	DSCR4
5728	PTEN
23023	TMCC1
7238	TRT-AGT7-1
7262	PHLDA2
5861	RAB1A
10351	ABCA8
4990	SIX6
465	ATD
6857	SYT1
5942	RBMY1C
4965	OFC3
11024	LILRA1
2019	EN1
284	ANGPT1
583	BBS2
7840	ALMS1
8409	UXT
8081	AD5
2254	FGF9
1279	COL1AR
4298	MLLT1
2832	NPBWR2
8789	FBP2
1409	CRYAA
9555	MACROH2A1
11117	EMILIN1
10311	VPS26C
2874	GPS2
7569	ZNF182
32	ACACB
2383	FRA2K
4808	NHLH2
225	ABCD2
7310	ZRSR2P1
4018	LPA
5803	PTPRZ1
7837	PXDN
9743	ARHGAP32
6789	STK4
4037	LRP3
6529	SLC6A1
8890	EIF2B4
4985	OPRD1
3948	LDHC
726	CAPN5
11005	SPINK5
9050	PSTPIP2
7145	TNS1
2301	FOXE3
710	SERPING1
3170	FOXA2
3695	ITGB7
1719	DHFR
6239	RREB1
10307	APBB3
10971	YWHAQ
8011	MROS
11077	HSF2BP
22916	NCBP2
9361	LONP1
3655	ITGA6
1697	DFNB5
6738	RO60
8975	USP13
7172	TPMT
5719	PSMD13
23193	GANAB
11173	ADAMTS7
105	ADARB2
5443	POMC
2833	CXCR3
5089	PBX2
4285	MIPEP
1370	CPN2
23184	MESD
11123	RCAN3
10579	TACC2
4571	TRNP
9282	MED14
134	ADORA1
11238	CA5B
7251	TSG101
7327	UBE2G2
10899	JTB
492	ATP2B3
4277	MICB
10987	COPS5
3469	IFNWP4
7138	TNNT1
4486	MST1R
5534	PPP3R1
3883	KRT33A
7782	SLC30A4
208	AKT2
11119	BTN3A1
775	CACNA1C
11177	BAZ1A
8364	H4C3
5691	PSMB3
23071	ERP44
9760	TOX
5688	PSMA7
9242	MSC
4593	MUSK
206	AK4P1
11345	GABARAPL2
2723	GLC1C
466	ATF1
594	BCKDHB
25782	RAB3GAP2
2014	EMP3
9990	SLC12A6
4900	NRGN
4607	MYBPC3
5423	POLB
5738	PTGFRN
10752	CHL1
6343	SCT
9813	EFCAB14
1317	SLC31A1
10415	SNAI1P1
23076	RRP1B
6833	ABCC8
9709	HERPUD1
10280	SIGMAR1
2562	GABRB3
2450	FRA12C
2935	GSPT1
6240	RRM1
10791	VAMP5
1817	DRD5P1
8986	RPS6KA4
3587	IL10RA
11029	SERPINB8P1
3950	LECT2
5429	POLH
8324	FZD7
1706	DFNB14
7779	SLC30A1
4724	NDUFS4
6147	RPL23A
5537	PPP6C
2132	EXT2
7348	UPK1B
1298	COL9A2
3784	KCNQ1
9611	NCOR1
9698	PUM1
1910	EDNRB
1435	CSF1
6500	SKP1
5723	PSPH
10929	SRSF8
9659	PDE4DIP
1369	CPN1
3441	IFNA4
10903	MTMR11
5999	RGS4
22821	RASA3
3685	ITGAV
5064	PALM
8339	H2BC8
4568	TRNL2
1590	CYP21A1P
23031	MAST3
7978	MTERF1
6664	SOX11
3357	HTR2B
8867	SYNJ1
5801	PTPRR
10868	USP20
7683	MKRN5P
1630	DCC
2853	GPR31
10335	IRAG1
9675	TTI1
8488	RPL3P1
485	ATP1B1P1
3483	IGFALS
9181	ARHGEF2
6779	STATH
7324	UBE2E1
3000	GUCY2D
11218	DDX20
7994	KAT6A
3939	LDHA
2318	FLNC
9219	MTA2
1548	CYP2A6
1742	DLG4
5646	PRSS3
8516	ITGA8
9560	CCL4L2
5245	PHB1
2831	NPBWR1
9802	DAZAP2
5073	PARN
2466	FRA17B
10606	PAICS
5183	PEPC
6154	RPL26
7755	ZNF205
9091	PIGQ
11253	MAN1B1
6258	RXRG
23446	SLC44A1
7896	TS13
8605	PLA2G4C
4249	MGAT5
8437	RASAL1
7710	ZNF154
5204	PFDN5
333	APLP1
4796	TONSL
6303	SAT1
23598	PATZ1
7002	PRDX1P1
9344	TAOK2
9948	WDR1
7435	VIS1
140	ADORA3
8876	VNN1
11045	UPK1A
6355	CCL8
23163	GGA3
8738	CRADD
5780	PTPN9
2451	FRA12D
10134	BCAP31
6391	SDHC
6461	SHB
257	ALX3
2285	FKBP1AP4
9271	PIWIL1
4242	MFNG
7054	TH
22890	ZBTB1
5476	CTSA
5016	OVGP1
5034	P4HB
6704	SPRR2E
3567	IL5
483	ATP1B3
904	CCNT1
5432	POLR2C
1282	COL4A1
10691	GMEB1
3884	KRT33B
2657	GDF1
9633	TESMIN
4573	TRNR
4318	MMP9
5475	PPEF1
10522	DEAF1
2261	FGFR3
5878	RAB5C
8547	FCN3
9840	TESPA1
9236	CCPG1
9111	NMI
3796	KIF2A
6165	RPL35A
3503	IGHG4
4628	MYH10
5991	RFX3
8600	TNFSF11
9372	ZFYVE9
2257	FGF12
5062	PAK2
3145	HMBS
3007	H1-3
9108	MTMR7
4616	GADD45B
6952	TCP1P2
4190	MDH1
10277	UBE4B
10911	UTS2
5923	RASGRF1
6722	SRF
4920	ROR2
2010	EMD
5696	PSMB8
5863	RGL2
10876	EDDM3A
3146	HMGB1
2186	BPTF
9209	LRRFIP2
8676	STX11
91	ACVR1B
23668	UBBP2
1292	COL6A2
10480	EIF3M
356	FASLG
9378	NRXN1
10302	SNAPC5
7962	PBCA
10009	ZBTB33
5362	PLXNA2
1952	CELSR2
7533	YWHAH
2213	FCGR2B
10214	SSX3
2987	GUK1
9825	SPATA2
4621	MYH3
22808	MRAS
22834	ZNF652
23329	TBC1D30
170	AFA
4935	GPR143
6637	SNRPG
1523	CUX1
922	CD5L
10036	CHAF1A
9496	TBX4
52	ACP1
7529	YWHAB
4302	MLLT6
8030	CCDC6
89	ACTN3
4236	MFAP1
7479	WNT8B
8650	NUMB
6472	SHMT2
4139	MARK1
7728	ZNF175
5571	PRKAG1
363	AQP6
23597	ACOT9
6568	SLC17A1
4640	MYO1A
776	CACNA1D
2359	FPR3
5010	CLDN11
1967	EIF2B1
2208	FCER2
1016	CDH18
1159	CKMT1B
8877	SPHK1
8941	CDK5R2
7263	TST
5542	PRB1
10836	NPM1P11
6648	SOD2
46	ACLS
4666	NACA
1015	CDH17
3949	LDLR
9474	ATG5
5502	PPP1R1A
9352	TXNL1
2214	FCGR3A
9450	LY86
11237	RNF24
4214	MAP3K1
5334	PLCL1
3988	LIPA
9263	STK17A
455	ASS1P10
9619	ABCG1
9899	SV2B
2330	FMO5
4353	MPO
22868	FASTKD2
7905	REEP5
10628	TXNIP
3428	IFI16
5174	PDZK1
9557	CHD1L
479	ATP12A
8635	RNASET2
9533	POLR1C
1525	CXADR
29	ABR
484	ATP1B3P1
997	CDC34
23760	PITPNB
6293	VPS52
1620	BRINP1
3531	IGKV1OR2-1
516	ATP5MC1
8449	DHX16
7416	VDAC1
8284	KDM5D
9203	ZMYM3
3410	IDDM11
8341	H2BC15
10677	AVIL
2849	GPR26
9688	NUP93
4901	NRL
9735	KNTC1
9982	FGFBP1
7963	TS546
1749	DLX5
8226	PUDP
3574	IL7
5047	PAEP
4085	MAD2L1
994	CDC25B
7205	TRIP6
5662	PSD
1718	DHCR24
3375	IAPP
7753	ZNF202
10855	HPSE
8916	HERC3
4983	OPHN1
1362	CPD
1070	CETN3
10210	TOPORS
9861	PSMD6
9502	XAGE2
7495	XBP1P1
4211	MEIS1
3233	HOXD4
1610	DAO
1624	DBIP1
22902	RUFY3
1419	CRYGB
1117	CHI3L2
9693	RAPGEF2
1932	EEF1B2P1
2045	EPHA7
8115	TCL1A
6447	SCG5
6927	HNF1A
22814	CRIPTOP5
9744	ACAP1
4708	NDUFB2
9576	SPAG6
8777	MPDZ
8287	USP9Y
10963	STIP1
8009	LALL
22846	VASH1
4059	BCAM
1124	CHN2
3467	IFNW1
1302	COL11A2
1627	DBN1
2996	GYPE
10533	ATG7
1731	SEPTIN1
3635	INPP5D
5725	PTBP1
6402	SELL
3122	HLA-DRA
5802	PTPRS
3658	IREB2
6553	SLC9A5
11094	CACFD1
4137	MAPT
1173	AP2M1
23640	HSPBP1
1730	DIAPH2
1621	DBH
8701	DNAH11
5364	PLXNB1
6278	S100A7
4745	NELL1
5426	POLE
6302	TSPAN31
1943	EFNA2
8623	ASMTL
5949	RBP3
22854	NTNG1
6453	ITSN1
1636	ACE
7109	TRAPPC10
1131	CHRM3
7730	ZNF177
7686	MKRN7P
4801	NFYB
418	ART2P
4340	MOG
1026	CDKN1A
8665	EIF3F
3218	HOXB8
25	ABL1
3152	HMGN2P11
2147	F2
2090	ESA4
8736	MYOM1
2651	GCNT2
2740	GLP1R
11146	GLMN
3880	KRT19
4969	OGN
2634	GBP2
3910	LAMA4
10930	APOBEC2
1573	CYP2J2
25793	FBXO7
1308	COL17A1
9326	ZNHIT3
2934	GSN
9478	CABP1
9094	UNC119
11042	GUSBP15
11176	BAZ2A
4500	MT1L
9956	HS3ST2
9537	TP53I11
2456	FRA13D
7132	TNFRSF1A
1757	SARDH
10370	CITED2
6641	SNTB1
3495	IGHD
7200	TRH
22829	NLGN4Y
6942	TCF20
6503	SLA
5379	PMS2P1
871	SERPINH1
576	ADGRB2
5611	DNAJC3
7185	TRAF1
9014	TAF1B
2972	BRF1
309	ANXA6
2683	B4GALT1
28	ABO
10190	TXNDC9
10180	RBM6
1346	COX7A1
3222	HOXC5
5548	PRD
10220	GDF11
8353	H3C6
11325	DDX42
1133	CHRM5
5757	PTMA
5433	POLR2D
10555	AGPAT2
23659	PLA2G15
2017	CTTN
8853	ASAP2
5635	PRPSAP1
1672	DEFB1
11019	LIAS
407	ARR3
3463	IFNA20P
2969	GTF2I
131	ADH7
7528	YY1
3314	HSPA8P1
3662	IRF4
25778	DSTYK
10917	BTNL3
4162	MCAM
9127	P2RX6
128	ADH5
3906	LALBA
6916	TBXAS1
10114	HIPK3
10733	PLK4
6772	STAT1
9681	DEPDC5
1427	CRYGS
2139	EYA2
6322	SCML1
5349	FXYD3
7703	PCGF2
23671	TMEFF2
10665	TSBP1
11083	DIDO1
269	AMHR2
10874	NMU
6209	RPS15
6474	SHOX2
25825	BACE2
7512	XPNPEP2
103	ADAR
3021	H3-3B
23508	TTC9
5444	PON1
2122	MECOM
601	BAK1P2
8910	SGCE
221	ALDH3B1
3955	LFNG
8934	RAB29
3600	IL15
11149	POPDC1
706	TSPO
1937	EEF1G
10039	PARP3
5953	RCD1
2979	GUCA1B
10611	PDLIM5
5307	PITX1
4815	NINJ2
8648	NCOA1
8804	CREG1
10218	ANGPTL7
7633	ZNF79
23744	ATP5F1EP1
6181	RPLP2
6761	ST2
10590	SCGN
8859	STK19
4609	MYC
22979	EFR3B
6687	SPG7
3845	KRAS
214	ALCAM
8848	TSC22D1
25819	NOCT
3172	HNF4A
4849	CNOT3
8790	FPGT
346	APOC4
1827	RCAN1
9553	MRPL33
2097	ESB3
9098	USP6
9031	BAZ1B
6733	SRPK2
8093	MGCT
2641	GCG
7499	XG
1773	DNASE1
3266	ERAS
3736	KCNA1
9748	SLK
4504	MT3
6168	RPL37A
6290	SAA3P
2430	FRA9F
9046	DOK2
5915	RARB
2400	FRA5G
23228	PLCL2
8553	BHLHE40
2802	GOLGA3
4188	MDFI
5430	POLR2A
10905	MAN1A2
115	ADCY9
3592	IL12A
1240	CMKLR1
9632	SEC24C
5166	PDK4
1666	DECR1
1004	CDH6
7124	TNF
5304	PIP
1337	COX6A1
1191	CLU
6138	RPL15
2140	EYA3
2321	FLT1
6838	SURF6
8521	GCM1
11148	HHLA2
6478	SIAH2
1687	GSDME
1399	CRKL
5734	PTGER4
5905	RANGAP1
2327	FMO2
6578	SLCO2A1
11342	RNF13
22807	IKZF2
4440	MSI1
23615	PYY2
350	APOH
10361	NPM2
8089	YEATS4
1007	CDH9
566	AZU1
474	ATOH1
2650	GCNT1
7932	OR2H2
22856	CHSY1
4954	ODCP
322	APBB1
11101	ATE1
3608	ILF2
538	ATP7A
3142	HLX
23563	CHST5
7957	EPM2A
10557	RPP38
9597	SMAD5-AS1
10627	MYL12A
4651	MYO10
3738	KCNA3
6918	TCEA1P1
752	FMNL1
5275	SERPINB13
11039	GUSBP14
23158	TBC1D9
4565	TRNI
1010	CDH12
663	BNIP2
5966	REL
1783	DYNC1LI2
4604	MYBPC1
8614	STC2
9079	LDB2
2564	GABRE
3623	INHA
5096	PCCB
4143	MAT1A
4860	PNP
719	C3AR1
7051	TGM1
7895	LAG5
2403	FRA6C
6946	TCL4
5463	POU6F1
9310	ZNF235
23002	DAAM1
4680	CEACAM6
6721	SREBF2
2046	EPHA8
1432	MAPK14
23751	TOP3BP1
2618	GART
5455	POU3F3
137	ADORA2BP1
7844	RNF103
23116	TOGARAM1
5267	SERPINA4
1232	CCR3
8582	OR8B1P
23591	FAM215A
2258	FGF13
3429	IFI27
8677	STX10
23738	OFD1P17
2896	GRN
3512	JCHAIN
2449	FRA12B
2264	FGFR4
9040	UBE2M
1748	DLX4
10892	MALT1
6263	RYR3
459	ASS1P14
23286	WWC1
281	AMYP1
4035	LRP1
2339	FNTA
10897	YIF1A
3890	KRT84
3241	HPCAL1
4578	TRNW
10926	DBF4
23606	HMGN2P10
10015	PDCD6IP
5048	PAFAH1B1
9955	HS3ST3A1
2736	GLI2
1623	DBIP2
301	ANXA1
9785	DHX38
2688	GH1
5787	PTPRB
7379	UPK2
9647	PPM1F
2410	FRA7C
8936	WASF1
10841	FTCD
3803	KIR2DL2
23164	MPRIP
11031	RAB31
3020	H3-3A
6903	TBCC
9244	CRLF1
7125	TNNC2
10879	SMR3B
10669	CGREF1
8216	LZTR1
8590	OR6A2
3790	KCNS3
2560	GABRB1
5075	PAX1
477	ATP1A2
4282	MIF
3915	LAMC1
2299	FOXI1
5867	RAB4A
9052	GPRC5A
23522	KAT6B
7852	CXCR4
8554	PIAS1
1272	CNTN1
7142	TNP2
6588	SLN
750	GAS8-AS1
10890	RAB10
9658	ZNF516
3843	IPO5
8731	RNMT
23095	KIF1B
4096	MAFD2
