Gene_Symbol,direction,LCM_SMD,LCM_FDR
C3AR1,UP,1.66,0.00114
ELAVL3,DOWN,-1.594,0.0205
MADD,DOWN,-1.536,0.000198
TTLL1,DOWN,-1.504,0.005
RPL27,UP,1.452,0.00931
MAPK4,UP,1.441,0.00428
C12orf76,DOWN,-1.434,0.0561
STOM,UP,1.42,0.00428
RGS1,UP,1.413,0.0187
PRUNE2,DOWN,-1.412,0.00918
AQP1,UP,1.401,0.00428
HTR7,DOWN,-1.396,0.00428
C1orf162,UP,1.392,0.00434
NCKAP1L,UP,1.387,0.00472
NQO1,UP,1.381,0.0647
CORO2A,DOWN,-1.376,0.00434
LAMA2,UP,1.375,0.00434
APLNR,UP,1.371,0.00412
USP13,DOWN,-1.363,0.000993
LRIG1,UP,1.36,0.00454
NAXE,DOWN,-1.355,0.00434
SUSD2,DOWN,-1.353,0.0236
SLC35A4,DOWN,-1.349,0.000993
PPP5C,DOWN,-1.339,0.00511
CDK7,DOWN,-1.337,0.00434
F3,UP,1.337,0.000993
SERPINA3,UP,1.332,0.00114
LINGO4,DOWN,-1.328,0.00526
TUBB,DOWN,-1.319,0.0175
SLC7A8,DOWN,-1.313,0.00412
TNS1,DOWN,-1.312,0.0269
ECEL1,DOWN,-1.309,0.00412
MXI1,UP,1.307,0.0771
PARP14,UP,1.306,0.00587
CLIC5,UP,1.284,0.00428
SLC6A6,UP,1.284,0.0698
RAB3D,DOWN,-1.271,0.023
AQP4,UP,1.266,0.0414
CDC20B,DOWN,-1.259,0.0212
PEMT,DOWN,-1.259,0.00597
MLC1,UP,1.251,0.00434
CYBB,UP,1.25,0.00895
SRGN,UP,1.247,0.00428
PADI2,UP,1.245,0.0209
CP,UP,1.24,0.0175
SEMA3A,DOWN,-1.239,0.0469
STC1,UP,1.227,0.0772
C1QB,UP,1.22,0.0698
NEDD9,UP,1.211,0.00526
SLC2A1,UP,1.211,0.0144
SENP8,DOWN,-1.211,0.00562
SPA17,DOWN,-1.209,0.00412
IGSF6,UP,1.205,0.0175
PTPRC,UP,1.205,0.0698
PXDNL,DOWN,-1.202,0.057
FN1,UP,1.199,0.011
ENTREP1,UP,1.194,0.094
RRP12,DOWN,-1.193,0.0114
ELK4,UP,1.192,0.0262
MYO1E,UP,1.189,0.012
MAN1B1,DOWN,-1.187,0.0274
SCYL1,DOWN,-1.187,0.0118
AHCTF1,UP,1.184,0.0298
EPB41L2,UP,1.183,0.0116
NCF2,UP,1.177,0.0461
VIPR2,DOWN,-1.175,0.00511
