from	to	score	weight
CASP3	HDAC6	0.494	0.494
CASP3	TBK1	0.53	0.53
CASP3	SDHC	0.543	0.543
ATF4	CASP3	0.602	0.602
CASP3	SQSTM1	0.672	0.672
CASP3	MAP3K5	0.699	0.699
CASP3	ERN1	0.714	0.714
CASP3	DDIT3	0.734	0.734
ATF6	CASP3	0.737	0.737
CASP3	GPX8	0.773	0.773
CASP3	GPX7	0.773	0.773
CASP3	HSPA5	0.793	0.793
BID	CASP3	0.827	0.827
ACTG1	CASP3	0.922	0.922
BCL2L1	CASP3	0.95	0.95
BCL2	CASP3	0.987	0.987
APAF1	CASP3	0.999	0.999
CAT	GPX7	0.625	0.625
CAT	GPX8	0.626	0.626
CAT	SOD1	0.92	0.92
COX6A1	UQCRC1	0.989	0.989
COX6A1	DDIT3	0.47	0.47
COX6A1	NDUFB1	0.52	0.52
COX6A1	NDUFS1	0.551	0.551
COX6A1	NDUFB2	0.552	0.552
COX6A1	SDHC	0.574	0.574
COX6A1	NDUFA10	0.596	0.596
COX6A1	NDUFA3	0.61	0.61
COX6A1	NDUFA9	0.638	0.638
COX6A1	NDUFA4L2	0.69	0.69
COX6A1	NDUFB3	0.697	0.697
COX6A1	NDUFA1	0.742	0.742
COX6A1	NDUFA2	0.782	0.782
COX6A1	NDUFB10	0.808	0.808
COX6A1	NDUFS6	0.839	0.839
COX6A1	NDUFA12	0.864	0.864
COX6A1	UQCRHL	0.946	0.946
COX6A1	UQCR11	0.971	0.971
COX6A1	CYC1	0.985	0.985
COX6A1	UQCR10	0.995	0.995
COX6A1	UQCRB	0.997	0.997
COX6A1	NDUFA4	0.998	0.998
COX6A1	COX6B1	0.999	0.999
COX6B1	UQCRC1	0.989	0.989
COX6A1	COX6B1	0.999	0.999
COX6B1	NDUFA2	0.982	0.982
COX6B1	NDUFA10	0.948	0.948
COX6B1	NDUFA9	0.931	0.931
COX6B1	NDUFB10	0.944	0.944
COX6B1	PSMB6	0.495	0.495
COX6B1	NDUFS6	0.954	0.954
COX6B1	CYC1	0.994	0.994
COX6B1	NDUFA12	0.976	0.976
COX6B1	UQCR10	0.999	0.999
COX6B1	NDUFA4	0.999	0.999
COX6B1	SDHC	0.554	0.554
COX6B1	NDUFA1	0.979	0.979
COX6B1	NDUFA4L2	0.65	0.65
COX6B1	NDUFS1	0.971	0.971
COX6B1	NDUFB3	0.952	0.952
COX6B1	NDUFA3	0.974	0.974
COX6B1	NDUFB2	0.898	0.898
COX6B1	UQCRB	0.999	0.999
COX6B1	DDIT3	0.442	0.442
COX6B1	UQCRHL	0.902	0.902
COX6B1	NDUFB1	0.944	0.944
COX6B1	UQCR11	0.997	0.997
CYC1	UQCRC1	0.999	0.999
COX6A1	CYC1	0.985	0.985
CYC1	NDUFA2	0.994	0.994
CYC1	NDUFA10	0.98	0.98
CYC1	NDUFA9	0.998	0.998
CYC1	NDUFB10	0.995	0.995
CYC1	PSMB6	0.435	0.435
CYC1	NDUFS6	0.998	0.998
CYC1	DDIT3	0.416	0.416
CYC1	NDUFA4L2	0.625	0.625
APAF1	CYC1	0.68	0.68
CYC1	NDUFA4	0.789	0.789
CYC1	NDUFB2	0.814	0.814
CYC1	NDUFA1	0.873	0.873
CYC1	TOMM40	0.892	0.892
CYC1	NDUFA3	0.901	0.901
CYC1	NDUFB1	0.903	0.903
CYC1	SDHC	0.923	0.923
CYC1	NDUFB3	0.93	0.93
CYC1	UQCRHL	0.987	0.987
COX6B1	CYC1	0.994	0.994
CYC1	NDUFA12	0.998	0.998
CYC1	UQCR11	0.999	0.999
CYC1	UQCR10	0.999	0.999
CYC1	UQCRB	0.999	0.999
CYC1	NDUFS1	0.999	0.999
DAXX	SQSTM1	0.41	0.41
BCL2L1	DAXX	0.509	0.509
BCL2	DAXX	0.558	0.558
DAXX	SOD1	0.613	0.613
DAXX	TP53	0.999	0.999
DAXX	MAP3K5	0.999	0.999
DCTN2	NUP85	0.496	0.496
DCTN2	KLC4	0.716	0.716
DCTN2	SOD1	0.745	0.745
DCTN2	OPTN	0.535	0.535
DCTN2	SQSTM1	0.476	0.476
DCTN2	NEFL	0.406	0.406
DCTN2	PSMC3	0.451	0.451
ACTG1	DCTN2	0.58	0.58
DDIT3	MAPK12	0.924	0.924
DDIT3	XBP1	0.988	0.988
COX6A1	DDIT3	0.47	0.47
DDIT3	FUS	0.514	0.514
DDIT3	TP53	0.69	0.69
DDIT3	EIF2AK3	0.884	0.884
CASP3	DDIT3	0.734	0.734
CYC1	DDIT3	0.416	0.416
DDIT3	HSPA5	0.921	0.921
DDIT3	UQCR10	0.465	0.465
ATF4	DDIT3	0.996	0.996
DDIT3	MAP3K5	0.622	0.622
ATF6	DDIT3	0.989	0.989
DDIT3	ITPR3	0.463	0.463
BCL2L1	DDIT3	0.52	0.52
DDIT3	HDAC6	0.465	0.465
DDIT3	SQSTM1	0.44	0.44
BCL2	DDIT3	0.972	0.972
DDIT3	ERN1	0.887	0.887
DDIT3	UQCRB	0.484	0.484
COX6B1	DDIT3	0.442	0.442
DERL1	XBP1	0.653	0.653
DERL1	UBQLN1	0.407	0.407
DERL1	MAP3K5	0.414	0.414
ATF6	DERL1	0.511	0.511
DERL1	ERN1	0.582	0.582
DERL1	SOD1	0.964	0.964
DERL1	HSPA5	0.982	0.982
DNAH1	SOD1	0.65	0.65
DNAH1	DNALI1	0.637	0.637
DNAH1	DNAH7	0.911	0.911
DNAH1	DNAH6	0.538	0.538
DNAH1	DNAH14	0.957	0.957
DNAH11	SOD1	0.668	0.668
DNAH11	DNALI1	0.702	0.702
DNAH11	DNAH14	0.45	0.45
DNAH14	SOD1	0.65	0.65
DNAH14	DNAH7	0.594	0.594
DNAH14	DNAH6	0.639	0.639
DNAH11	DNAH14	0.45	0.45
DNAH1	DNAH14	0.957	0.957
DNAH6	SOD1	0.65	0.65
DNAH6	DNALI1	0.633	0.633
DNAH6	DNAH7	0.583	0.583
DNAH1	DNAH6	0.538	0.538
DNAH14	DNAH6	0.639	0.639
DNAH7	SOD1	0.65	0.65
DNAH7	DNALI1	0.668	0.668
DNAH6	DNAH7	0.583	0.583
DNAH14	DNAH7	0.594	0.594
DNAH1	DNAH7	0.911	0.911
DNALI1	SOD1	0.65	0.65
DNAH6	DNALI1	0.633	0.633
DNAH1	DNALI1	0.637	0.637
DNAH7	DNALI1	0.668	0.668
DNAH11	DNALI1	0.702	0.702
EIF2AK3	XBP1	0.909	0.909
EIF2AK3	TP53	0.627	0.627
EIF2AK3	GPX7	0.409	0.409
EIF2AK3	ITPR3	0.458	0.458
EIF2AK3	ERN1	0.541	0.541
BCL2L1	EIF2AK3	0.587	0.587
EIF2AK3	MAP3K5	0.6	0.6
EIF2AK3	SQSTM1	0.726	0.726
BCL2	EIF2AK3	0.729	0.729
CASP3	EIF2AK3	0.776	0.776
DDIT3	EIF2AK3	0.884	0.884
ATF6	EIF2AK3	0.978	0.978
ATF4	EIF2AK3	0.992	0.992
EIF2AK3	HSPA5	0.999	0.999
ERBB4	TP53	0.726	0.726
ERBB4	NRG1	0.999	0.999
CASP3	ERBB4	0.407	0.407
ERBB4	NEFL	0.491	0.491
BCL2	ERBB4	0.66	0.66
ERBB4	NRG3	0.999	0.999
ERN1	XBP1	0.997	0.997
ERN1	TANK	0.433	0.433
DERL1	ERN1	0.582	0.582
ERN1	TP53	0.625	0.625
EIF2AK3	ERN1	0.541	0.541
CASP3	ERN1	0.714	0.714
ERN1	HSPA5	0.999	0.999
ATF4	ERN1	0.835	0.835
ERN1	MAP3K5	0.999	0.999
ATF6	ERN1	0.976	0.976
ERN1	ITPR3	0.743	0.743
BCL2L1	ERN1	0.522	0.522
ERN1	OPTN	0.54	0.54
ERN1	SQSTM1	0.712	0.712
BCL2	ERN1	0.781	0.781
DDIT3	ERN1	0.887	0.887
FUS	NEFM	0.544	0.544
FUS	PFN1	0.668	0.668
ANXA11	FUS	0.409	0.409
FUS	GLE1	0.445	0.445
FUS	SLC1A2	0.446	0.446
ALYREF	FUS	0.453	0.453
FUS	HDAC6	0.466	0.466
DDIT3	FUS	0.514	0.514
FUS	TP53	0.536	0.536
FUS	SPG11	0.603	0.603
FUS	TBK1	0.618	0.618
FUS	NEFL	0.67	0.67
FUS	SRSF7	0.686	0.686
FUS	SQSTM1	0.795	0.795
FUS	NEFH	0.798	0.798
FUS	SRSF3	0.827	0.827
FUS	OPTN	0.948	0.948
FUS	HNRNPA2B1	0.99	0.99
FUS	SOD1	0.992	0.992
GABARAPL1	RB1CC1	0.967	0.967
GABARAPL1	GABARAPL2	0.952	0.952
ATG14	GABARAPL1	0.993	0.993
GABARAPL1	PIK3C3	0.984	0.984
GABARAPL1	WIPI1	0.884	0.884
GABARAPL1	TP53	0.418	0.418
GABARAPL1	WIPI2	0.907	0.907
CASP3	GABARAPL1	0.437	0.437
GABARAPL1	HSPA5	0.454	0.454
GABARAPL1	ULK1	0.991	0.991
GABARAPL1	TBK1	0.483	0.483
GABARAPL1	PIK3R4	0.912	0.912
BCL2L1	GABARAPL1	0.439	0.439
GABARAPL1	UBQLN1	0.704	0.704
GABARAPL1	HDAC6	0.451	0.451
GABARAPL1	OPTN	0.998	0.998
GABARAPL1	SQSTM1	0.999	0.999
BCL2	GABARAPL1	0.535	0.535
GABARAPL2	RB1CC1	0.953	0.953
CASP3	GABARAPL2	0.428	0.428
GABARAPL2	GRIA2	0.439	0.439
GABARAPL2	HDAC6	0.446	0.446
BCL2L1	GABARAPL2	0.46	0.46
GABARAPL2	HSPA5	0.48	0.48
GABARAPL2	TBK1	0.482	0.482
GABARAPL2	TP53	0.491	0.491
BCL2	GABARAPL2	0.528	0.528
GABARAPL2	UBQLN1	0.717	0.717
GABARAPL2	WIPI1	0.87	0.87
GABARAPL2	PIK3R4	0.912	0.912
GABARAPL2	WIPI2	0.94	0.94
GABARAPL1	GABARAPL2	0.952	0.952
GABARAPL2	PIK3C3	0.984	0.984
ATG14	GABARAPL2	0.994	0.994
GABARAPL2	ULK1	0.997	0.997
GABARAPL2	OPTN	0.998	0.998
GABARAPL2	SQSTM1	0.999	0.999
GLE1	NUP107	0.942	0.942
GLE1	NUP155	0.988	0.988
GLE1	NUP85	0.895	0.895
FUS	GLE1	0.445	0.445
GLE1	NUP210	0.724	0.724
GLE1	NUP54	0.924	0.924
GLE1	NUP205	0.883	0.883
GLE1	NUP35	0.862	0.862
GLE1	SRSF7	0.471	0.471
GLE1	SRSF3	0.497	0.497
GLE1	HNRNPA2B1	0.634	0.634
GLE1	NUP37	0.725	0.725
GLE1	NUP43	0.733	0.733
GLE1	NUP50	0.746	0.746
GLE1	NUP188	0.749	0.749
GLE1	SEC13	0.762	0.762
GLE1	NUP160	0.819	0.819
ALYREF	GLE1	0.842	0.842
GLE1	NUP98	0.916	0.916
GLE1	NUP153	0.924	0.924
GLE1	NUP62	0.925	0.925
GLE1	NUP88	0.945	0.945
CAT	GPX7	0.625	0.625
GPX7	TP53	0.606	0.606
GPX7	SOD1	0.891	0.891
EIF2AK3	GPX7	0.409	0.409
CASP3	GPX7	0.773	0.773
GPX7	HSPA5	0.604	0.604
GPX7	MAP3K5	0.418	0.418
APAF1	GPX7	0.444	0.444
BCL2L1	GPX7	0.499	0.499
BCL2	GPX7	0.731	0.731
GPX7	GPX8	0.917	0.917
CAT	GPX8	0.626	0.626
GPX8	TP53	0.618	0.618
GPX8	SOD1	0.89	0.89
CASP3	GPX8	0.773	0.773
GPX8	HSPA5	0.449	0.449
GPX8	MAP3K5	0.418	0.418
GPX7	GPX8	0.917	0.917
BCL2L1	GPX8	0.498	0.498
BCL2	GPX8	0.734	0.734
APAF1	GPX8	0.444	0.444
GRIA1	SLC1A2	0.687	0.687
GRIA1	GRIA2	0.999	0.999
GRIA1	SEC13	0.499	0.499
GRIA1	NEFL	0.661	0.661
GABARAPL2	GRIA2	0.439	0.439
GRIA2	SOD1	0.479	0.479
GRIA2	SLC1A2	0.685	0.685
GRIA2	NEFL	0.669	0.669
GRIA1	GRIA2	0.999	0.999
GABARAPL2	HDAC6	0.446	0.446
FUS	HDAC6	0.466	0.466
HDAC6	PIK3C3	0.406	0.406
HDAC6	TP53	0.602	0.602
HDAC6	SOD1	0.563	0.563
CASP3	HDAC6	0.494	0.494
HDAC6	HSPA5	0.71	0.71
HDAC6	ULK1	0.534	0.534
HDAC6	TUBB	0.531	0.531
BCL2L1	HDAC6	0.417	0.417
GABARAPL1	HDAC6	0.451	0.451
DDIT3	HDAC6	0.465	0.465
BCL2	HDAC6	0.479	0.479
HDAC6	SQSTM1	0.979	0.979
HNRNPA2B1	PSMA4	0.449	0.449
HNRNPA2B1	PSMC4	0.446	0.446
HNRNPA2B1	PFN1	0.44	0.44
FUS	HNRNPA2B1	0.99	0.99
HNRNPA2B1	TP53	0.499	0.499
HNRNPA2B1	SOD1	0.483	0.483
GLE1	HNRNPA2B1	0.634	0.634
HNRNPA2B1	HSPA5	0.427	0.427
HNRNPA2B1	SRSF7	0.947	0.947
HNRNPA2B1	TBK1	0.77	0.77
HNRNPA2B1	OPTN	0.408	0.408
APAF1	HNRNPA2B1	0.466	0.466
HNRNPA2B1	SQSTM1	0.512	0.512
ALYREF	HNRNPA2B1	0.877	0.877
HNRNPA2B1	SRSF3	0.976	0.976
GABARAPL2	HSPA5	0.48	0.48
HSPA5	MAPK12	0.542	0.542
HSPA5	XBP1	0.98	0.98
HSPA5	TUBB1	0.485	0.485
HSPA5	PSMA2	0.571	0.571
HSPA5	NUP107	0.435	0.435
HSPA5	NUP155	0.437	0.437
HSPA5	NUP85	0.454	0.454
HSPA5	NUP210	0.509	0.509
DERL1	HSPA5	0.982	0.982
HSPA5	PIK3C3	0.865	0.865
HSPA5	NUP54	0.435	0.435
HSPA5	TP53	0.824	0.824
HSPA5	SOD1	0.975	0.975
HSPA5	NUP205	0.421	0.421
HSPA5	NUP35	0.4	0.4
EIF2AK3	HSPA5	0.999	0.999
CASP3	HSPA5	0.793	0.793
HSPA5	NUP98	0.461	0.461
HSPA5	NUP188	0.4	0.4
HSPA5	NUP43	0.413	0.413
HSPA5	NUP160	0.416	0.416
HSPA5	NUP50	0.421	0.421
HNRNPA2B1	HSPA5	0.427	0.427
HSPA5	NUP153	0.443	0.443
GPX8	HSPA5	0.449	0.449
HSPA5	NUP37	0.452	0.452
GABARAPL1	HSPA5	0.454	0.454
HSPA5	PSMD14	0.456	0.456
ACTG1	HSPA5	0.475	0.475
APAF1	HSPA5	0.475	0.475
HSPA5	NUP62	0.509	0.509
HSPA5	UBQLN4	0.554	0.554
BCL2L1	HSPA5	0.571	0.571
HSPA5	SEC13	0.592	0.592
HSPA5	TUBB	0.593	0.593
GPX7	HSPA5	0.604	0.604
HSPA5	NUP88	0.624	0.624
HDAC6	HSPA5	0.71	0.71
HSPA5	MAP3K5	0.723	0.723
HSPA5	ITPR3	0.728	0.728
BCL2	HSPA5	0.738	0.738
DDIT3	HSPA5	0.921	0.921
HSPA5	SQSTM1	0.946	0.946
ATF4	HSPA5	0.975	0.975
ATF6	HSPA5	0.999	0.999
ERN1	HSPA5	0.999	0.999
ITPR3	XBP1	0.502	0.502
ITPR3	PPP3R1	0.559	0.559
ITPR3	NDUFA2	0.404	0.404
ITPR3	NDUFA10	0.412	0.412
EIF2AK3	ITPR3	0.458	0.458
CASP3	ITPR3	0.438	0.438
HSPA5	ITPR3	0.728	0.728
ITPR3	NDUFA4	0.426	0.426
ATF6	ITPR3	0.537	0.537
ITPR3	MCU	0.884	0.884
DDIT3	ITPR3	0.463	0.463
ERN1	ITPR3	0.743	0.743
BCL2L1	ITPR3	0.942	0.942
BCL2	ITPR3	0.993	0.993
KLC4	NEFM	0.911	0.911
KLC4	NRG1	0.437	0.437
DCTN2	KLC4	0.716	0.716
KLC4	NEFH	0.915	0.915
KLC4	NEFL	0.917	0.917
MAP2K6	MAPK12	0.98	0.98
MAP2K6	TP53	0.418	0.418
MAP2K6	MAP3K5	0.993	0.993
MAP3K5	RB1CC1	0.912	0.912
MAP3K5	PSMC4	0.4	0.4
MAP3K5	MAPK12	0.925	0.925
MAP3K5	XBP1	0.758	0.758
MAP3K5	PPP3R1	0.42	0.42
DERL1	MAP3K5	0.414	0.414
DAXX	MAP3K5	0.999	0.999
MAP3K5	TP53	0.597	0.597
MAP3K5	SOD1	0.721	0.721
EIF2AK3	MAP3K5	0.6	0.6
CASP3	MAP3K5	0.699	0.699
HSPA5	MAP3K5	0.723	0.723
ATF4	MAP3K5	0.513	0.513
GPX7	MAP3K5	0.418	0.418
GPX8	MAP3K5	0.418	0.418
APAF1	MAP3K5	0.458	0.458
BCL2L1	MAP3K5	0.543	0.543
DDIT3	MAP3K5	0.622	0.622
ATF6	MAP3K5	0.712	0.712
BCL2	MAP3K5	0.755	0.755
MAP2K6	MAP3K5	0.993	0.993
ERN1	MAP3K5	0.999	0.999
BCL2	MAPK12	0.421	0.421
CASP3	MAPK12	0.481	0.481
MAPK12	SQSTM1	0.487	0.487
HSPA5	MAPK12	0.542	0.542
MAPK12	NEFM	0.907	0.907
MAPK12	NEFH	0.91	0.91
MAPK12	NEFL	0.91	0.91
DDIT3	MAPK12	0.924	0.924
MAP3K5	MAPK12	0.925	0.925
MAPK12	TP53	0.946	0.946
MAP2K6	MAPK12	0.98	0.98
MCU	NDUFA9	0.711	0.711
MCU	NDUFB10	0.423	0.423
ITPR3	MCU	0.884	0.884
NDUFA1	UQCRC1	0.922	0.922
COX6A1	NDUFA1	0.742	0.742
NDUFA1	NDUFA2	0.999	0.999
NDUFA1	NDUFA10	0.999	0.999
NDUFA1	NDUFA9	0.998	0.998
NDUFA1	NDUFB10	0.999	0.999
NDUFA1	NDUFS6	0.999	0.999
CYC1	NDUFA1	0.873	0.873
NDUFA1	NDUFA12	0.999	0.999
NDUFA1	UQCR10	0.978	0.978
NDUFA1	NDUFA4	0.995	0.995
NDUFA1	SDHC	0.605	0.605
NDUFA1	UQCRHL	0.496	0.496
NDUFA1	NDUFA4L2	0.71	0.71
NDUFA1	UQCRB	0.948	0.948
NDUFA1	UQCR11	0.974	0.974
COX6B1	NDUFA1	0.979	0.979
NDUFA1	NDUFB1	0.999	0.999
NDUFA1	NDUFB2	0.999	0.999
NDUFA1	NDUFA3	0.999	0.999
NDUFA1	NDUFS1	0.999	0.999
NDUFA1	NDUFB3	0.999	0.999
NDUFA10	UQCRC1	0.996	0.996
COX6A1	NDUFA10	0.596	0.596
NDUFA10	NDUFA2	0.999	0.999
ITPR3	NDUFA10	0.412	0.412
NDUFA10	UQCRHL	0.493	0.493
NDUFA10	NDUFA4L2	0.569	0.569
NDUFA10	SDHC	0.597	0.597
NDUFA10	UQCR10	0.902	0.902
NDUFA10	UQCR11	0.92	0.92
COX6B1	NDUFA10	0.948	0.948
NDUFA10	UQCRB	0.956	0.956
CYC1	NDUFA10	0.98	0.98
NDUFA10	NDUFA4	0.988	0.988
NDUFA10	NDUFB1	0.995	0.995
NDUFA10	NDUFB3	0.999	0.999
NDUFA10	NDUFS1	0.999	0.999
NDUFA10	NDUFB2	0.999	0.999
NDUFA10	NDUFA12	0.999	0.999
NDUFA10	NDUFA9	0.999	0.999
NDUFA10	NDUFS6	0.999	0.999
NDUFA1	NDUFA10	0.999	0.999
NDUFA10	NDUFA3	0.999	0.999
NDUFA10	NDUFB10	0.999	0.999
NDUFA12	UQCRC1	0.999	0.999
COX6A1	NDUFA12	0.864	0.864
NDUFA12	NDUFA2	0.999	0.999
NDUFA10	NDUFA12	0.999	0.999
NDUFA12	NDUFA9	0.999	0.999
NDUFA12	NDUFB10	0.999	0.999
NDUFA12	NDUFS6	0.999	0.999
CYC1	NDUFA12	0.998	0.998
NDUFA12	NDUFA4L2	0.917	0.917
NDUFA12	UQCRHL	0.943	0.943
NDUFA12	SDHC	0.951	0.951
COX6B1	NDUFA12	0.976	0.976
NDUFA12	UQCR11	0.994	0.994
NDUFA12	NDUFB2	0.996	0.996
NDUFA12	NDUFB1	0.997	0.997
NDUFA12	NDUFA4	0.999	0.999
NDUFA12	NDUFB3	0.999	0.999
NDUFA12	NDUFS1	0.999	0.999
NDUFA12	UQCRB	0.999	0.999
NDUFA12	NDUFA3	0.999	0.999
NDUFA1	NDUFA12	0.999	0.999
NDUFA12	UQCR10	0.999	0.999
NDUFA2	UQCRC1	0.992	0.992
COX6A1	NDUFA2	0.782	0.782
ITPR3	NDUFA2	0.404	0.404
NDUFA2	TOMM40	0.439	0.439
NDUFA2	NDUFA4L2	0.741	0.741
NDUFA2	SDHC	0.908	0.908
NDUFA2	UQCRHL	0.974	0.974
COX6B1	NDUFA2	0.982	0.982
NDUFA2	UQCR11	0.994	0.994
CYC1	NDUFA2	0.994	0.994
NDUFA2	UQCRB	0.997	0.997
NDUFA2	NDUFB1	0.999	0.999
NDUFA10	NDUFA2	0.999	0.999
NDUFA2	UQCR10	0.999	0.999
NDUFA2	NDUFB10	0.999	0.999
NDUFA2	NDUFA3	0.999	0.999
NDUFA1	NDUFA2	0.999	0.999
NDUFA2	NDUFA9	0.999	0.999
NDUFA2	NDUFS6	0.999	0.999
NDUFA12	NDUFA2	0.999	0.999
NDUFA2	NDUFB2	0.999	0.999
NDUFA2	NDUFA4	0.999	0.999
NDUFA2	NDUFS1	0.999	0.999
NDUFA2	NDUFB3	0.999	0.999
NDUFA3	UQCRC1	0.939	0.939
COX6A1	NDUFA3	0.61	0.61
